index,LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,LPlin_rmsdmag,LPlin_chi2dof,LPlin_chi2dofR,LPmean_rmsdmag,LPmean_chi2dof,LPmean_chi2dofR,Lmmax,Lampl,NdataZTF,ZPztf_rmsdmag,ZPztf_chi2dof,ZPztf_chi2dofR,ZPmean_rmsdmag,ZPmean_chi2dof,ZPmean_chi2dofR,Zmmax,Zampl,Lindicator,Llimit,Zindicator,Zlimit,LC TYPE,Chi_diff_LINEAR,Chi_diff_ZTF,Ampl_diff,dP
0,29848,0.557021,0.557037,0.557028883258033,1.0,301.0,0.1781975130362765,3.0,1.5,0.1853263277460863,3.2,1.6,16.00927663493493,0.57,43,0.0491416360036069,13.6,3.6,0.05259756698357,16.2,4.0,15.756992620915206,0.93,0,0.25,0.0,0.25,1,0.15932356030082606,0.3104577163185436,0.36,3e-05
7,142794,0.470787,0.470804,0.4707958974304993,1.0,270.0,0.0957377517037445,1.8,1.0,0.1008133192566754,2.3,1.0,15.92606168754797,0.72,836,0.0606687967327237,41.3,3.6,0.0600525558415007,40.4,3.6,15.745773143209798,0.82,1,0.25,0.0,0.25,1,0.04832026521641164,-0.06389457445736824,0.1,4e-05
28,798477,0.651629,0.651611,0.6516198632745175,1.0,294.0,0.1383849521137535,2.0,1.2,0.1359940758510217,2.2,1.1,16.086921740168115,0.61,200,0.0792387551112197,9.9,3.2,0.0766370289481459,10.3,3.1,16.061407843815672,0.56,0,0.25,0.0,0.25,1,-0.04742220859054802,-0.05229417125523872,0.05,3e-05
57,1092244,0.649495,0.649557,0.6495259343930518,1.0001,590.0,0.1052893518008491,2.3,1.2,0.1551405026508019,5.1,1.7,16.0903036739155,0.72,303,0.1249287471366914,37.0,4.0,0.1672827259383928,51.2,5.1,16.14759950359234,0.57,1,0.25,0.0,0.25,1,0.5244646641591411,1.1685898047512433,0.15,0.0001
62,1130401,0.467371,0.467362,0.4673662447799102,1.0,151.0,0.1398541222660788,23.1,3.0,0.1588713821498701,25.2,3.3,15.21993408538512,0.75,189,0.0934922243914163,54.0,5.9,0.0877520948801138,55.2,5.6,15.13069798996642,0.8,0,0.25,0.0,0.25,1,0.33476484344176116,-0.3134855129425773,0.05,2e-05
63,1132871,0.556639,0.556606,0.5566224943049897,0.9999,144.0,0.0831903878317987,6.5,2.2,0.125399095816454,14.7,3.5,15.124774002400413,0.84,208,0.0639154555557914,38.2,3.6,0.0796184659465379,61.8,4.4,15.11185914535821,0.74,0,0.25,0.0,0.25,1,1.2930337277482984,0.7363843663781697,0.1,6e-05
77,1390653,0.521868,0.521871,0.5218698150766903,1.0,524.0,0.0692376998171157,4.1,1.3,0.0715036664276197,4.2,1.3,15.83071182497153,1.11,461,0.0693816610844728,30.0,3.7,0.0711766230366051,31.8,3.8,15.852038830722924,0.95,0,0.25,1.0,0.25,1,0.007528402525909028,0.09483523385931836,0.16,1e-05
85,1491942,0.479459,0.479455,0.4794567578732356,1.0,331.0,0.1042412854161833,5.7,1.9,0.1025776536475053,5.6,1.9,15.719525222803256,0.92,447,0.0750515417706099,30.8,3.6,0.0706335752245641,30.4,3.4,15.779888546049303,0.85,0,0.25,0.0,0.25,1,0.016982860068714967,-0.2595633138760709,0.07,1e-05
113,1852714,0.45498,0.454985,0.4549824847095337,1.0,294.0,0.0656137720710147,3.8,1.4,0.0724654529437787,4.0,1.5,15.5889461735539,1.18,403,0.0551528282991097,22.2,3.4,0.056747432478486,22.2,3.5,15.704913886519735,0.99,0,0.25,1.0,0.25,1,0.05844626183887214,0.04806702457377199,0.19,1e-05
126,2041979,0.653694,0.653626,0.6536600986900478,0.9999,276.0,0.1328008555541895,1.5,1.2,0.2028727523213712,2.7,1.4,16.135339005203498,0.63,1433,0.1634500832721878,32.5,4.7,0.178291126090901,40.1,4.7,16.18099663757275,0.44,0,0.25,0.0,0.25,1,0.2014190768968127,-0.0005204600082757693,0.19,0.0001
147,2264042,0.655375,0.65538,0.6553776352031897,1.0,391.0,0.1239212351553389,6.5,1.7,0.1205603212960565,6.5,1.7,15.810230308607098,0.75,297,0.0707799548435245,60.0,4.0,0.075250734695246,62.3,4.3,15.72209794378918,0.77,1,0.25,0.0,0.25,1,0.03605880424060137,0.23857885675257506,0.02,1e-05
212,2807982,0.607957,0.607941,0.6079488228669676,1.0,257.0,0.1347689142308754,16.9,3.0,0.1456425056044278,17.2,2.8,14.910288578391894,0.48,457,0.137193029174418,11.5,3.1,0.1379616781244908,11.2,3.1,14.830950357746207,0.39,0,0.25,0.0,0.25,1,-0.184163489401159,0.012399059369841758,0.09,3e-05
263,3196780,0.504147,0.5042,0.5041734932494037,1.0001,475.0,0.0916281935021848,9.3,2.3,0.1296178943143871,30.2,2.9,15.146228224698302,0.81,285,0.0455075472866613,21.3,3.2,0.1123181467860227,105.1,6.8,15.081077073926778,0.85,0,0.25,0.0,0.25,1,0.584769722993574,3.6273196213525147,0.04,0.00011
268,3221817,0.623798,0.623815,0.6238068195906936,1.0,303.0,0.1924270893812449,5.2,2.4,0.1984266565136264,5.3,2.6,15.707272762335826,0.52,736,0.116473471036038,12.4,3.4,0.1200374621838309,13.0,3.4,15.656081316787471,0.41,0,0.25,0.0,0.25,1,0.15423169486267163,0.06393678196138675,0.11,3e-05
273,3294319,0.55546,0.555474,0.5554672006642648,1.0,802.0,0.1124936847837838,10.3,1.9,0.1119552225541391,11.0,1.9,15.436070710838138,0.77,287,0.0673439530898857,16.2,3.1,0.0578797360643443,15.1,2.6,15.608508752427465,0.61,1,0.25,0.0,0.25,1,0.01619362898316057,-0.45289214456350324,0.16,3e-05
286,3437725,0.542457,0.542478,0.5424674944746615,1.0,266.0,0.1179290621588817,3.5,1.5,0.1457962540501323,4.2,1.6,15.894928723694337,0.67,427,0.0740957375241934,25.9,3.4,0.0853328119588348,34.1,3.7,15.769913179734516,0.74,1,0.25,0.0,0.25,1,0.06214222987293594,0.35101157588978804,0.07,4e-05
310,3591037,0.558642,0.55861,0.5586260034174291,0.9999,449.0,0.0740183971665793,5.3,1.3,0.1120295161764438,12.5,1.7,15.689033628616396,0.76,508,0.070758021185176,30.7,3.6,0.0891406322659284,48.5,4.1,15.735435971007869,0.64,0,0.25,0.0,0.25,1,0.4376669120803254,0.4439704628420915,0.12,6e-05
342,3915086,0.588954,0.588945,0.5889494161028165,1.0,198.0,0.0915204161697151,3.4,1.6,0.0942281422762353,3.8,1.6,15.350243667185064,0.69,697,0.0836185799578788,22.4,3.6,0.0916764180927372,23.1,3.9,15.407610788058353,0.54,0,0.25,0.0,0.25,1,-0.03702929584087622,0.32055272523656564,0.15,2e-05
