LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ
29848,0.55702,0.557035,0.557,1.0,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795266,1.832831,26.620524,0.045499,7.483869,1.79522,1.85898,15.683814,0.206765,5
50402,0.643303,0.643294,0.6433,1.0,284,0.10597603714367376,0.6,0.7,0.10761053125195782,0.6,0.7,16.15,0.48,60,0.03868702884908126,1.0,1.0,0.04143841735937795,0.9,1.1,16.1,0.38,1.554479,1.622344,14.735136,0.077603,7.194603,1.5545,1.591735,26.856452,0.003194,10
62892,0.530776,0.530786,0.5308,1.0,276,0.10853500416309395,1.1,0.9,0.13110370211797465,2.0,1.2,16.08,0.62,60,0.07785671881693214,6.6,2.3,0.06938569935406193,6.4,2.1,16.1,0.42,1.884034,1.951914,14.73188,0.06584,7.123299,1.883999,1.943289,16.866251,0.004563,12
91437,0.674733,0.674737,0.6747,1.0,177,0.040738557201364885,2.8,1.3,0.07328514048846757,12.2,2.1,14.98,0.87,56,0.017054887398357425,3.5,1.1,0.03145615423935573,12.9,1.8,15.05,0.71,1.482068,1.549828,14.757969,0.081603,4.427005,1.48206,1.495845,72.542619,0.006555,11
95250,0.31387,0.313877,0.3139,1.0,222,0.16252181261677517,0.8,0.8,0.8655949131635552,4.2,1.9,16.71,0.48,56,0.05614420515751237,1.5,1.2,0.08453906130237136,6.5,1.8,16.75,0.38,3.186029,3.256529,14.184397,0.037702,9.99857,3.185965,3.188875,343.642612,0.003358,19
104455,0.997195,0.558511,0.7779,0.5601,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002813,1.005788,336.134454,0.169935,8.852652,1.790475,1.799575,109.89011,0.26614,7
108513,0.473809,0.473938,0.4739,1.0003,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110557,2.146502,27.820281,0.052304,6.590739,2.109981,2.163451,18.702076,0.164076,5
136668,0.532923,0.532929,0.5329,1.0,310,0.12306642530420873,1.6,1.1,0.15106542103233503,3.3,1.2,16.18,0.82,65,0.043013936043728315,5.6,1.6,0.057499549827319696,21.1,2.3,16.16,0.67,1.876443,1.909463,30.284676,0.054965,6.994832,1.876424,1.939574,15.835313,0.01147,16
141414,0.33569,0.335669,0.3357,0.9999,278,0.1191250803034982,0.6,0.8,0.18063598656747193,1.3,1.1,16.11,0.41,64,0.057710776652141714,1.2,1.3,0.11815157513525856,9.2,2.4,16.1,0.31,2.978936,3.046731,14.75035,0.036534,11.762826,2.979127,2.981982,350.262697,0.002996,13
142794,0.470787,0.470802,0.4708,1.0,270,0.09500324106401337,1.8,1.0,0.11635985741166535,2.7,1.2,15.93,0.72,63,0.04646240335539708,12.0,2.4,0.048369369634536974,13.0,2.4,15.85,0.72,2.124102,2.184752,16.488046,0.048025,9.391181,2.124034,2.185149,16.362595,0.028563,6
