LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,LC_type
29848,0.55702,0.557035,0.557,1.0,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7952663189957507,1.8328313189959968,26.620524424156763,0.0454991743461399,7.483869486910254,0.0,0.0,0.0,0.0,0.0,1
50402,0.643303,0.643294,0.6433,1.0,284,0.1059760371436737,0.6,0.7,0.1076105312519578,0.6,0.7,16.15,0.48,60,0.0386870288490812,1.0,1.0,0.0414384173593779,0.9,1.1,16.1,0.38,1.5544786001020965,1.6223436001025409,14.735135931532437,0.0776032898398,7.194603212638249,1.9127578698591208,1.916052869859142,303.49013656857323,0.0145526611787259,2.074830902822661,1
62892,0.530776,0.530786,0.5308,1.0,276,0.1085350041630939,1.1,0.9,0.1311037021179746,2.0,1.2,16.08,0.62,60,0.0778567188169321,6.6,2.3,0.0693856993540619,6.4,2.1,16.1,0.42,1.8840337800806368,1.9519137800810813,14.73187978776442,0.0658401210130428,7.123298840433141,1.0023042426717643,1.025584242671917,42.95532646019969,0.0618437910922823,4.772948803125307,1
91437,0.674733,0.674737,0.6747,1.0,177,0.0407385572013648,2.8,1.3,0.0732851404884675,12.2,2.1,14.98,0.87,56,0.0170548873983574,3.5,1.1,0.0314561542393557,12.9,1.8,15.05,0.71,1.482068397809099,1.5498283978095428,14.757969303327169,0.081603189106796,4.427005385017449,1.4820619288170565,1.5410119288174426,16.96352841379896,0.032789186688656,5.42667927577367,1
95250,0.31387,0.313877,0.3139,1.0,222,0.1625218126167751,0.8,0.8,0.8655949131635552,4.2,1.9,16.71,0.48,56,0.0561442051575123,1.5,1.2,0.0845390613023713,6.5,1.8,16.75,0.38,3.186028957821676,3.256528957819007,14.184397163657556,0.037702028139266,9.998570238887092,1.061978939865193,1.0928689398653957,32.37293622510355,0.0969011685568421,8.201793941790164,2
104455,0.997195,0.558511,0.7779,0.5601,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0028130447138193,1.0057880447138388,336.13445377931055,0.1699351037623036,8.852651672891072,0.0,0.0,0.0,0.0,0.0,1
108513,0.473809,0.473938,0.4739,1.0003,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110557082806676,2.146502082805315,27.82028098589116,0.0523037693186938,6.590738933688027,0.0,0.0,0.0,0.0,0.0,1
136668,0.532923,0.532929,0.5329,1.0,310,0.1230664253042087,1.6,1.1,0.151065421032335,3.3,1.2,16.18,0.82,65,0.0430139360437283,5.6,1.6,0.0574995498273196,21.1,2.3,16.16,0.67,1.8764430547334436,1.90946305473366,30.284675953768893,0.0549648147092385,6.994832339296202,1.8764296436540768,1.9395596436544904,15.840329478749387,0.0800126684186453,8.782674441994486,1
141414,0.33569,0.335669,0.3357,0.9999,278,0.1191250803034982,0.6,0.8,0.1806359865674719,1.3,1.1,16.11,0.41,64,0.0577107766521417,1.2,1.3,0.1181515751352585,9.2,2.4,16.1,0.31,2.978936065800874,3.0467310657983075,14.750350321378534,0.0365344162550778,11.762825988686432,1.4895618405079745,1.492826840507996,306.27871362739626,0.0211075668933593,4.728452235438161,2
142794,0.470787,0.470802,0.4708,1.0,270,0.0950032410640133,1.8,1.0,0.1163598574116653,2.7,1.2,15.93,0.72,63,0.046462403355397,12.0,2.4,0.0483693696345369,13.0,2.4,15.85,0.72,2.1241024144767926,2.1847524144744965,16.488046167153467,0.0480250380921795,9.391181382709991,2.12403426114829,2.1851492611459764,16.362595108203514,0.0285625767273227,6.07493058786452,1
158779,0.609207,0.609189,0.6092,1.0,293,0.1010858572079121,3.7,1.6,0.1066417674698486,4.1,1.6,15.1,0.47,58,0.0879745271547796,7.3,2.4,0.0853028371649996,7.3,2.4,15.07,0.4,1.641478855865035,1.6443138558650536,352.7336860647086,0.0467743431761942,6.550136823640131,1.6415645237581915,1.7126195237586572,14.073604953816744,0.0329899250530175,5.534604150318437,1
162255,0.512747,0.512743,0.5127,1.0,266,0.0715225155272165,5.7,1.6,0.2287020195111999,27.2,3.6,15.21,0.96,119,0.0244364757230395,2.4,1.4,0.0535787155303341,9.2,2.9,15.29,0.76,1.950278500156707,1.953088500156725,355.87188611866503,0.1131849743828378,9.628292168337872,1.9503666550254173,1.9766516550255893,38.04451207888335,0.0432631404583652,7.720558093486987,1
163933,0.339629,0.679246,0.5094,2.0,306,0.0596871789014989,1.0,0.9,0.9407698192097296,23.8,6.0,15.31,0.45,53,0.0387649366460745,1.5,0.9,0.4809081169631811,45.8,7.4,15.33,0.35,2.944387307827649,2.9472173078275423,353.35689047274127,0.0529097562401018,23.348579867854543,1.4722209518232128,1.5272259518235731,18.1801654393864,0.0420036085159818,4.911008209935924,2
172382,0.458309,0.458307,0.4583,1.0,227,0.0597131321078662,1.5,1.1,0.0746041007624613,3.7,1.3,15.49,1.16,118,0.0266488421201179,3.9,1.6,0.0296683287465945,6.4,1.7,15.71,0.82,2.1819346865568274,2.2434596865544982,16.253555465873347,0.0880778108709358,6.085643839388975,2.1819119358573014,2.271366935853915,11.178804986170228,0.0307134733283822,4.31106377794646,1
174389,0.334036,0.33404,0.334,1.0,270,0.1187030146329644,4.5,1.4,0.7174206024911831,19.7,4.6,14.93,0.27,59,0.0534693234604557,1.2,1.3,0.1109421613777772,8.6,2.6,14.94,0.26,2.993690844298976,3.064265844296304,14.169323415343362,0.0337931698325371,12.591256363099536,2.9936500139056657,2.998135013905496,222.96544036518569,0.0199838223555719,7.523414998142209,2
186102,0.647419,0.647425,0.6474,1.0,188,0.0556478759547869,0.6,0.7,0.0877931526312822,1.1,0.8,15.97,0.89,60,0.0275239742808575,1.3,1.0,0.0320775602295725,1.6,1.1,15.95,0.56,1.544594809530062,1.5888848095303525,22.57846014886992,0.1075649969051292,7.767565089092553,1.544610752053157,1.551355752053201,148.25796886485526,0.039840796539814,5.301979146726947,1
215632,0.572162,0.572164,0.5722,1.0,286,0.0509776775049182,0.9,1.0,0.1101620630806918,7.7,1.4,15.64,0.75,49,0.0240908240281036,1.6,1.0,0.0421444423072373,5.7,2.0,15.64,0.58,1.7477560694715262,1.818191069471988,14.19748704470006,0.0840858231884727,7.755266166992274,1.747757513899277,1.8259675138997893,12.78608873537206,0.035096502347236,2.9707005649855582,1
258499,0.401505,0.803,0.6023,2.0,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.490626320129373,2.5613413201266964,14.141271300825252,0.0219320809788464,8.793549751023042,1.245330555749896,1.2661355557500322,48.06536890139144,0.0831171781597906,4.35752392983783,2
263541,0.558218,0.558215,0.5582,1.0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791415320444694,1.862080320445157,14.151277152670328,0.1187885398986795,9.743173456338589,0.0,0.0,0.0,0.0,0.0,1
303860,0.499321,0.492164,0.4957,0.9857,280,0.0036781399373725,36.3,5.0,0.182241750058351,14.2,2.4,-70.14,86.75,65,0.053939597963037,24.2,2.8,0.2406453192739203,120.0,8.6,15.64,0.71,2.0027188363699957,2.031868836370186,34.30531732396103,0.1461391619975647,12.38766959756798,1.0006138005819252,1.029603800582115,34.494653328508065,0.0791901245439915,6.596095071474098,1
309626,0.595841,0.595839,0.5958,1.0,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678301180896261,1.6811311808962794,353.356890457049,0.1030123019484765,5.969215210260578,0.0,0.0,0.0,0.0,0.0,1
355767,0.499298,0.499405,0.4994,1.0002,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00281267887393,2.0132326788739983,95.96928982662656,0.0400833799264097,1.526380975719922,0.0,0.0,0.0,0.0,0.0,1
393084,0.530027,0.530031,0.53,1.0,493,0.0932405362184246,1.6,1.1,0.1780147544421425,5.3,1.5,16.18,0.96,48,0.0333470837156097,3.5,1.6,0.0395549442950275,12.8,1.8,16.34,0.74,1.8866953237764648,1.9447103237768453,17.236921485709708,0.0476117704881076,11.26614686506372,0.8839086225306017,0.9068836225307522,43.525571272837816,0.0855389265212555,4.008920290179127,1
418785,0.700122,0.700119,0.7001,1.0,263,0.1198915073201436,1.4,0.8,0.1339718115461413,1.8,0.9,16.54,0.56,49,0.0355823609600176,1.4,0.9,0.0477999491493161,1.8,1.2,16.52,0.44,1.428322384531787,1.4769823845321055,20.55076037799936,0.0625637195880171,7.931304566359642,1.4283284363228153,1.4684734363230785,24.909702328893975,0.0492955994742365,4.602777544064144,1
420327,0.535225,0.53522,0.5352,1.0,144,0.0551336325129718,1.1,0.8,0.1014433920647575,4.1,1.4,15.31,0.53,91,0.0459572144097601,2.4,1.5,0.0451673212382072,2.5,1.4,15.3,0.42,1.868372949093325,1.9020229490935452,29.71768202060769,0.0429954322055559,5.706777052912568,1.8683916864466796,1.9355516864471196,14.889815366191913,0.0563416223824808,9.675700295435783,1
437483,0.699234,0.699234,0.6992,1.0,316,0.1170333257786089,0.5,0.7,0.1701119301335085,0.8,0.8,16.56,0.37,48,0.0499919808955083,0.8,0.9,0.0491812447320253,1.0,0.9,16.46,0.28,1.4301365963816297,1.4640415963818516,29.49417490026394,0.0865896953351985,8.855317760383835,1.4301580014834945,1.4636930014837142,29.819591471401484,0.0653497442676222,6.2861596754160445,1
439441,0.709248,0.709248,0.7092,1.0,349,0.1718968471905616,2.1,1.3,0.2493011054652686,3.9,1.6,16.08,0.36,48,0.0519881043696223,1.2,1.1,0.0496067244297501,1.9,1.1,15.99,0.28,1.4099435716269826,1.471823571627388,16.16031027785147,0.0329097628359463,6.568143476905362,1.4099436107802887,1.4143336107803175,227.79043280033,0.0536232486794175,5.321415187432428,1
514883,0.557723,0.557735,0.5577,1.0,289,0.1151620922947133,5.3,1.7,0.1380646213623662,8.8,1.9,15.43,0.55,55,0.0537287275405799,9.8,1.8,0.0642915114564361,9.5,2.2,15.43,0.44,1.7930039216122002,1.847158921612555,18.465515649403542,0.0565606660026002,8.123775339680458,1.7930044281507922,1.8266444281510128,29.726516052123923,0.0421754731176446,5.1969231456966245,1
516954,0.29757,0.297569,0.2976,1.0,243,0.1878104317986939,5.6,2.3,1.079411124342284,22.4,4.9,15.56,0.52,123,0.0432256838687712,1.6,1.0,0.1162556092849532,10.3,2.4,15.69,0.33,3.3605588997772777,3.452333899773804,10.896213566198394,0.0127398364788917,7.447070822217299,3.360575324683205,3.363385324683099,355.8718861344689,0.0165752096681817,10.010690037206842,2
523832,0.372376,0.372383,0.3724,1.0,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.685454165165238,2.803979165160751,8.437038599771,0.0233822926128539,6.062675492114758,0.0,0.0,0.0,0.0,0.0,2
558961,0.600532,0.600546,0.6005,1.0,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.665190391157607,1.735735391158069,14.175349067877931,0.14555222139478,7.670884813613016,0.0,0.0,0.0,0.0,0.0,1
608497,0.485636,0.748671,0.6172,1.5416,556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0591541326497858,2.093019132650008,29.52901225434644,0.0466818540456914,17.4563418531984,1.0002367578847933,1.029486757884985,34.18803418781022,0.3158468517345705,6.909565286770532,1
664583,0.602994,0.603021,0.603,1.0,449,0.1159036053841335,1.8,1.1,0.1256597358996025,2.0,1.1,16.18,0.56,47,0.0702562810686056,3.5,2.1,0.0738913972375887,3.7,2.2,16.19,0.4,1.6583902481951152,1.6611852481951337,357.78175312824646,0.0406782700361248,10.590509700272907,1.6581869952289543,1.6617969952289782,277.0083102474927,0.0825775325889227,9.440164354828283,1
670864,0.600802,0.37493,0.4879,0.624,336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6644416136817253,1.74147661368223,12.981112481254607,0.0327011927634846,5.436253618839076,0.0,0.0,0.0,0.0,0.0,1
717668,0.426744,0.426758,0.4268,1.0,302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.343323901845776,2.413828901843107,14.18339124938455,0.0555614455936066,12.846310714263485,1.5651196751379868,1.5679746751380057,350.26269702047244,0.2438814462625892,4.671968943897477,2
734545,0.289482,0.498499,0.394,1.722,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4544502385467832,3.524935238544115,14.187415762756014,0.0243894476313532,19.1143042346142,0.0,0.0,0.0,0.0,0.0,2
737951,0.357023,0.714032,0.5355,2.0,273,0.2320347274382548,6.0,2.2,0.7100694881234548,14.3,3.5,15.8,0.43,54,0.1907948766028005,18.1,4.5,0.518505624888449,62.4,9.6,15.75,0.34,2.800940618755124,2.803770618755017,353.35689047274127,0.0410436098518553,16.203728755344763,1.4004975385325813,1.439232538532835,25.81644507534397,0.0731354508701198,7.672236660836935,2
771232,0.54093,0.54094,0.5409,1.0,301,0.0560725677237025,1.1,1.0,0.1082718201899285,8.4,1.6,15.48,0.93,55,0.0300702648609409,2.5,1.3,0.052945520010142,21.8,2.2,15.55,0.72,1.8486665360568877,1.925701536057392,12.981112481254607,0.0776480706051933,11.08190726981774,1.8486090479467148,1.92569904794722,12.971851083064584,0.1222582383632322,6.307800034215143,1
798477,0.651627,0.651611,0.6516,1.0,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5346197432507829,1.5983797432512006,15.683814303535897,0.0881487566027904,4.706914665567068,0.1636168110327971,0.1668518110328004,309.1190108188562,143.7553061903292,35.97094034095133,1
803829,0.595281,0.595284,0.5953,1.0,270,0.0417543170193131,8.7,2.3,0.0809858283539479,26.8,4.1,14.16,0.91,59,0.0267129051401686,5.0,2.0,0.0241871403996262,11.9,1.8,14.16,0.81,1.6798793911986256,1.720544391198892,24.591171769173705,0.093687692239334,6.059910731022648,1.679891175089469,1.7411961750898706,16.311883206809377,0.0307889005163723,4.543227315113135,1
810169,0.465185,0.465211,0.4652,1.0001,289,0.1407287344064615,6.0,2.1,0.1659292289285012,8.6,2.4,15.47,0.77,59,0.0532489919526392,10.7,2.6,0.0492212595624532,11.9,2.4,15.73,0.62,2.149680667224981,2.223200667222198,13.601741023365856,0.0659736809013775,9.937048159062284,2.14955383080183,2.22298383079905,13.6184120936655,0.0363699432213301,8.60608265102021,1
813450,0.589387,0.58939,0.5894,1.0,221,0.1289897725199642,2.0,1.3,0.1285758548885976,2.2,1.3,15.91,0.7,59,0.0335524623347589,1.8,1.0,0.0375045927741543,2.2,1.2,15.93,0.51,1.6966766993278342,1.7703166993283166,13.57957631712994,0.0549686053469506,4.363338047835246,1.696680901675231,1.7159359016753568,51.93456245097112,0.0405056774157543,7.479820385177494,1
