LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
29848,0.55702,0.557035,0.557028,1.000027,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7953,1.8328,26.6205,0.0455,7.4839,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,NaN,NaN,NaN
32086,0.569259,0.557035,0.563147,0.978526,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7567,1.827,14.2086,0.0474,7.1772,0.0,0.0,0.0,0.0,0.0,0.0,0.02171,NaN,NaN,NaN
50402,0.643303,0.643294,0.643298,0.999986,284,0.1059760371436737,0.6,0.7,0.1057696712171096,0.6,0.7,16.15,0.48,61,0.0421190154917518,1.1,1.1,0.0419360035812281,1.0,1.1,16.1,0.38,1.5545,1.6223,14.7351,0.0776,7.1946,1.9127,1.916,295.858,0.0149,2.2053,0.1,1e-05,NaN,NaN,NaN
61011,0.662374,0.643294,0.652834,0.971195,274,0.0735643853189893,78.9,5.1,0.8457845043422019,552.9,28.5,13.78,0.65,61,0.0421190154917518,1.1,1.1,0.47798081259471,48.8,7.5,16.1,0.38,1.5097,1.545,28.3849,0.0902,10.7271,1.9127,1.916,295.858,0.0149,2.2053,0.27,0.02923,NaN,NaN,NaN
62892,0.530776,0.530785,0.53078,1.000017,276,0.1085350041630939,1.1,0.9,0.114347337942149,1.1,1.0,16.08,0.62,61,0.0849482129585269,6.6,2.4,0.0943637299228965,6.5,2.8,16.1,0.42,1.884,1.9519,14.7319,0.0658,7.1233,1.884,1.9434,16.8265,0.0291,4.9825,0.2,2e-05,NaN,NaN,NaN
108513,0.473809,0.473938,0.473874,1.000272,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106,2.1465,27.8203,0.0523,6.5907,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,NaN,NaN,NaN
136668,0.532923,0.532929,0.532926,1.000011,310,0.1230664253042087,1.6,1.1,0.1204801091344806,1.7,1.1,16.18,0.82,65,0.0430195964775485,5.5,1.6,0.0415704400490891,5.1,1.5,16.16,0.67,1.8764,1.9095,30.2847,0.055,6.9948,1.8764,1.9396,15.8403,0.0801,8.7778,0.15,1e-05,NaN,NaN,NaN
141414,0.33569,0.335669,0.33568,0.999937,278,0.1191250803034982,0.6,0.8,0.1589046389913837,1.2,1.0,16.11,0.41,64,0.0577120853974731,1.2,1.3,0.0636095441952525,2.6,1.4,16.1,0.31,2.9789,3.0467,14.7504,0.0365,11.7628,1.4896,1.4928,306.2787,0.0211,4.728,0.1,6e-05,NaN,NaN,NaN
142794,0.470787,0.470802,0.470794,1.000032,270,0.0950032410640133,1.8,1.0,0.0966800294669726,2.1,1.1,15.93,0.72,63,0.0464470106158112,11.9,2.3,0.0623267854178691,15.3,2.8,15.85,0.72,2.1241,2.1848,16.488,0.048,9.3912,2.124,2.1851,16.3626,0.0286,6.0733,0.0,3e-05,NaN,NaN,NaN
158779,0.609207,0.609189,0.609198,0.99997,293,0.1010858572079121,3.7,1.6,0.1052229820234347,4.3,1.6,15.1,0.47,58,0.0879728376333374,7.2,2.4,0.0888107487921667,7.1,2.5,15.07,0.4,1.6415,1.6443,352.7337,0.0468,6.5501,1.6416,1.7126,14.0736,0.033,5.5345,0.07,3e-05,NaN,NaN,NaN
