LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ
29848,0.55702,0.557035,0.557028,1.000027,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7952663189957507,1.8328313189959968,26.620524424156763,0.04549917434614001,7.483869486910258,0.0,0.0,0.0,0.0,0.0
50402,0.643303,0.643294,0.643298,0.999986,284,0.10597603714367376,0.6,0.7,0.10576967121710967,0.6,0.7,16.15,0.48,61,0.042119015491751816,1.1,1.1,0.04193600358122812,1.0,1.1,16.1,0.38,1.5544786001020963,1.6223436001025409,14.735135931532437,0.07760328983979997,7.194603212638244,1.912659670791364,1.916039670791386,295.8579881637422,0.014882438573022622,2.2053151013149233
62892,0.530776,0.530785,0.53078,1.000017,276,0.10853500416309395,1.1,0.9,0.114347337942149,1.1,1.0,16.08,0.62,61,0.08494821295852699,6.6,2.4,0.09436372992289654,6.5,2.8,16.1,0.42,1.8840337800806368,1.9519137800810815,14.73187978776442,0.06584012101304285,7.123298840433139,1.883993500157314,1.9434235001577034,16.826518593192812,0.029057469935382673,4.982490074105713
108513,0.473809,0.473938,0.473874,1.000272,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1105570828066758,2.146502082805315,27.82028098589116,0.052303769318693884,6.590738933688027,0.0,0.0,0.0,0.0,0.0
136668,0.532923,0.532929,0.532926,1.000011,310,0.12306642530420873,1.6,1.1,0.12048010913448062,1.7,1.1,16.18,0.82,65,0.04301959647754858,5.5,1.6,0.04157044004908912,5.1,1.5,16.16,0.67,1.8764430547334434,1.9094630547336597,30.284675953768893,0.05496481470923856,6.994832339296202,1.8764296436540766,1.9395596436544902,15.840329478749387,0.0800812453649679,8.777786455463497
141414,0.33569,0.335669,0.33568,0.999937,278,0.1191250803034982,0.6,0.8,0.15890463899138377,1.2,1.0,16.11,0.41,64,0.05771208539747319,1.2,1.3,0.06360954419525251,2.6,1.4,16.1,0.31,2.978936065800874,3.0467310657983075,14.750350321378534,0.036534416255077876,11.762825988686435,1.4895618405079745,1.4928268405079959,306.27871362739626,0.021102536199546777,4.728010550546991
142794,0.470787,0.470802,0.470794,1.000032,270,0.09500324106401337,1.8,1.0,0.09668002946697261,2.1,1.1,15.93,0.72,63,0.04644701061581125,11.9,2.3,0.06232678541786914,15.3,2.8,15.85,0.72,2.1241024144767926,2.1847524144744965,16.488046167153467,0.04802503809217959,9.391181382709995,2.12403426114829,2.1851492611459764,16.362595108203514,0.028598033398648016,6.073275697670489
158779,0.609207,0.609189,0.609198,0.99997,293,0.1010858572079121,3.7,1.6,0.10522298202343479,4.3,1.6,15.1,0.47,58,0.08797283763333744,7.2,2.4,0.08881074879216676,7.1,2.5,15.07,0.4,1.641478855865035,1.6443138558650536,352.7336860647086,0.04677434317619427,6.550136823640136,1.6415645237581917,1.7126195237586572,14.073604953816744,0.032993507688216406,5.534454822782855
162255,0.512747,0.512744,0.512745,0.999994,266,0.0715225155272165,5.7,1.6,0.06768465863602635,5.5,1.6,15.21,0.96,120,0.024755238739714795,2.4,1.4,0.02420379499357259,2.5,1.4,15.29,0.77,1.9502785001567067,1.953088500156725,355.87188611866503,0.11318497438283785,9.628292168337893,1.9503393714873203,2.002479371487662,19.179133103058007,0.07961938041787545,31.598038243062458
163933,0.339629,0.679246,0.509438,1.999965,306,0.05968717890149893,1.0,0.9,0.7297881905553125,24.1,5.7,15.31,0.45,53,0.03876018462596172,1.5,0.9,0.35108260096110633,40.7,7.6,15.33,0.35,2.9443873078276495,2.9472173078275423,353.35689047274127,0.05290975624010185,23.348579867854564,1.4722209518232128,1.5272259518235731,18.180165439386396,0.04203710571658288,4.912146703874296
174389,0.334036,0.33404,0.334038,1.000012,270,0.11870301463296447,4.5,1.4,0.1214696829134223,4.6,1.4,14.93,0.27,59,0.0534696961920718,1.1,1.2,0.05157348562869719,1.1,1.2,14.94,0.26,2.9936908442989756,3.0642658442963038,14.169323415343362,0.03379316983253713,12.591256363099532,2.9936500139056657,2.998135013905496,222.96544036518566,0.019983227157210653,7.52378990388591
215632,0.572162,0.572163,0.572162,1.000002,286,0.050977677504918266,0.9,1.0,0.050977677504918266,0.9,1.0,15.64,0.75,50,0.022893382592586345,1.6,1.0,0.02239938104471107,1.7,1.0,15.64,0.58,1.7477560694715262,1.8181910694719876,14.197487044700061,0.08408582318847274,7.755266166992272,1.747757555073812,1.8259675550743244,12.78608873537206,0.034592089049824734,3.1471415996736605
258499,0.401505,0.401504,0.401505,0.999998,275,0.1248213394714467,2.7,1.5,0.1248213394714467,2.7,1.5,15.23,0.34,36,0.027194869790090316,2.0,0.7,0.026908896108624597,2.0,0.7,15.31,0.33,2.4906263201293735,2.5613413201266964,14.141271300825252,0.021932080978846403,8.793549751023042,1.245330555749896,1.2661355557500322,48.06536890139144,0.08317832505300354,4.362232788476668
263541,0.558218,0.558218,0.558218,1.0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791415320444694,1.862080320445157,14.151277152670328,0.1187885398986795,9.743173456338587,0.0,0.0,0.0,0.0,0.0
303860,0.499321,0.492164,0.495742,0.985667,280,0.0036781399373725645,36.3,5.0,0.31117482365607957,28.0,3.7,-70.14,86.75,65,0.05395239227165861,23.4,2.8,0.24131549174117625,114.7,9.1,15.64,0.71,2.0027188363699953,2.031868836370186,34.30531732396103,0.14613916199756471,12.387669597567978,1.0006138005819252,1.029603800582115,34.494653328508065,0.07923127526117164,6.5764161355346165
393084,0.530027,0.530033,0.53003,1.000011,493,0.09324053621842467,1.6,1.1,0.08725143702431484,1.6,1.1,16.18,0.96,49,0.031264092664222635,3.4,1.5,0.03261634528102043,3.3,1.6,16.33,0.74,1.8866953237764652,1.9447103237768453,17.236921485709708,0.04761177048810765,11.26614686506372,1.0008477354825671,1.0385577354828142,26.51816494281222,0.10317208566211047,5.2485740746015725
418785,0.700122,0.70012,0.700121,0.999997,263,0.11989150732014366,1.4,0.8,0.11737026962877066,1.4,0.8,16.54,0.56,50,0.034724683355470305,1.3,0.9,0.03556037323942974,1.3,0.9,16.52,0.44,1.428322384531787,1.4769823845321057,20.55076037799936,0.06256371958801717,7.931304566359639,1.4283259065436578,1.4684759065439208,24.906600248902834,0.048361515270373044,4.7223062730782175
437483,0.699234,0.699235,0.699234,1.000001,316,0.11703332577860892,0.5,0.7,0.11703332577860892,0.5,0.7,16.56,0.37,49,0.051979566743385094,0.8,0.9,0.0518919277230592,0.8,0.9,16.46,0.28,1.4301365963816295,1.4640415963818516,29.49417490026394,0.08658969533519849,8.855317760383834,1.4301646588209729,1.4636846588211925,29.832935560663746,0.05798955042355049,5.550724450949116
439441,0.709248,0.709247,0.709248,0.999999,349,0.17189684719056167,2.1,1.3,0.17189684719056167,2.1,1.3,16.08,0.36,49,0.050480612752291605,1.1,1.1,0.05051211864669946,1.1,1.1,15.99,0.28,1.4099435716269826,1.471823571627388,16.16031027785147,0.03290976283594635,6.568143476905363,2.0028623729870114,2.067987372987438,15.355086372260303,0.043885502296246236,6.698148262740114
514883,0.557723,0.557737,0.55773,1.000025,289,0.11516209229471334,5.3,1.7,0.1062405700112586,5.4,1.6,15.43,0.55,56,0.055848450326323774,11.3,1.8,0.05842295204401761,10.8,1.9,15.45,0.42,1.7930039216122002,1.847158921612555,18.465515649403542,0.056560666002600256,8.123775339680458,1.7930176822609223,1.8567376822613397,15.69365976135356,0.03683682148765706,4.754662365944376
523832,0.372376,0.372383,0.37238,1.000019,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.685454165165238,2.803979165160751,8.437038599771,0.023382292612853975,6.062675492114761,0.0,0.0,0.0,0.0,0.0
608497,0.485636,0.748671,0.617154,1.54163,556,0.08014026206863896,20.4,2.5,0.9271465147392228,166.4,7.8,14.85,0.86,31,0.07192943705101276,109.2,4.9,0.3052183812350655,103.8,9.5,14.71,1.02,2.0591541326497858,2.093019132650008,29.52901225434644,0.04668185404569141,17.45634185319839,1.0002367578847933,1.029486757884985,34.18803418781022,0.31335405408470757,6.899407701557509
