LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
10004892,0.67255,1.497924,1.085237,2.227231,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4869,1.4897,348.4321,0.1338,6.6458,0.0,0.0,0.0,0.0,0.0,0.0,0.76055,NaN,NaN,NaN
10030349,0.545073,0.545074,0.545074,1.000002,255,0.0769099856555786,8.7,2.1,0.0718039734228865,8.7,2.1,14.76,0.75,217,0.0499138069726107,16.4,2.6,0.0499138069726107,16.4,2.6,14.78,0.65,1.8346,1.9187,11.8984,0.0863,7.2172,1.8346,1.9187,11.8963,0.0177,5.5569,0.1,0.0,NaN,NaN,NaN
10040133,0.610543,0.610549,0.610546,1.00001,257,0.0936959996510261,0.9,0.9,0.0935721789729319,0.9,0.9,15.71,0.51,238,0.0531904736894696,2.8,1.7,0.0508713071971073,2.9,1.6,15.67,0.4,1.6379,1.6407,355.2398,0.102,8.7586,1.6379,1.6415,277.7778,0.0092,12.0512,0.11,1e-05,NaN,NaN,NaN
1004849,0.458463,0.458467,0.458465,1.000009,607,0.066321267131575,6.5,1.3,0.0682598773847897,6.8,1.3,15.71,1.14,45,0.0223867542785641,2.2,1.4,0.0206155539233773,2.2,1.2,15.79,0.87,2.1812,2.2151,29.4985,0.0453,12.0305,2.1811,2.2704,11.202,0.0611,5.196,0.27,1e-05,NaN,NaN,NaN
1005497,0.653607,0.653605,0.653606,0.999997,607,0.0731019162235362,2.1,1.1,0.0731737793172606,2.1,1.1,15.66,0.6,45,0.0377459924769939,3.0,1.4,0.0384507043089482,3.1,1.4,15.62,0.51,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.549,52.6316,0.0836,7.2669,0.09,0.0,NaN,NaN,NaN
10064356,0.628286,0.628279,0.628283,0.999989,291,0.1074855029582491,2.0,1.0,0.1127459236640041,2.0,1.0,16.09,0.53,75,0.0548953457220537,2.7,1.4,0.0560276412380162,2.8,1.5,16.13,0.39,1.5916,1.5945,352.1127,0.1887,15.494,1.5917,1.6454,18.6254,0.0393,10.8542,0.14,1e-05,NaN,NaN,NaN
10066464,0.664979,0.664969,0.664974,0.999985,274,0.0936567621336561,3.2,1.2,0.0893232469335434,3.2,1.1,15.67,0.43,73,0.069182312672384,5.7,2.0,0.0762489881130844,5.6,2.3,15.62,0.37,1.5038,1.5404,27.3038,0.1258,12.1527,1.5038,1.5066,356.5062,0.097,17.8269,0.06,2e-05,NaN,NaN,NaN
10071455,0.587626,0.293809,0.440718,0.499993,269,0.0816367268343296,11.3,0.9,0.4726238811271249,20.1,3.4,15.43,0.3,74,0.058328902816212,1.3,1.0,0.4142440953447044,23.3,5.6,15.48,0.22,1.7018,1.7328,32.1802,0.0261,8.3601,1.7018,1.7057,254.7771,0.0255,8.0839,0.08,0.66668,NaN,NaN,NaN
10084768,0.646226,0.0,0.323113,0.0,388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5474,1.5813,29.5727,0.0813,9.7118,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NaN,NaN,NaN
10085065,0.33749,0.337492,0.337491,1.000006,444,0.058549569311762,4.1,1.4,0.0632540052726622,4.2,1.5,14.73,0.4,68,0.0555171931769312,1.1,1.0,0.0514701706869201,1.0,0.9,14.74,0.31,2.963,2.9658,357.7818,0.086,23.7726,0.9877,0.9952,133.2445,0.1054,10.9103,0.09,1e-05,NaN,NaN,NaN
10132759,0.499326,0.484113,0.49172,0.969533,260,3.792768674507214e-05,40.6,3.0,0.419985732885914,40.1,3.2,15.17,1557.56,74,0.0292321280700757,2.1,1.1,0.2454878740685414,84.5,6.0,15.03,0.48,2.0027,2.0342,31.7612,0.0073,5.2833,2.0656,2.0866,47.6531,0.0434,13.8678,1557.08,0.03094,NaN,NaN,NaN
10141859,0.688583,0.688592,0.688587,1.000013,484,0.0335592824042847,1.7,1.2,0.0375133098806895,2.5,1.3,14.88,0.8,66,0.023122979340575,3.0,1.3,0.0274279726517178,4.5,1.5,14.91,0.63,1.4523,1.4859,29.6912,0.0919,10.0688,1.4522,1.4841,31.4021,0.0305,6.2414,0.17,1e-05,NaN,NaN,NaN
10164624,0.444947,0.0,0.222474,0.0,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2475,2.2588,88.4956,0.0471,13.8021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NaN,NaN,NaN
10178590,0.156539,0.185655,0.171097,1.185998,283,0.1868967496901426,2.0,1.1,0.6378875602133816,6.1,2.4,16.14,0.32,67,0.2093327826578402,9.5,2.7,0.5913312710576317,18.7,5.6,16.22,0.22,6.3882,6.3994,88.7311,0.0122,31.3137,1.569,1.6323,15.794,0.0267,5.9736,0.1,0.17017,NaN,NaN,NaN
10183351,0.749214,0.374602,0.561908,0.499993,259,0.1000769720960877,0.4,0.7,0.6155613924342166,5.5,2.3,16.34,0.46,67,0.0695144981415954,0.9,1.0,0.4125152495260835,24.5,5.3,16.38,0.3,1.3347,1.3531,54.5703,0.1227,10.7301,1.3348,1.3385,265.9574,0.0336,6.046,0.16,0.66668,NaN,NaN,NaN
1019294,0.386852,0.999717,0.693284,2.584236,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.585,2.6943,9.1466,0.0142,9.1144,0.0,0.0,0.0,0.0,0.0,0.0,0.884,NaN,NaN,NaN
10256108,0.472752,0.472754,0.472753,1.000004,291,0.0412711631422154,2.8,1.5,0.0420401870363947,2.7,1.5,15.0,1.13,122,0.0228858271177379,5.2,1.5,0.0246364728337361,4.3,1.7,15.17,0.85,2.1153,2.1715,17.773,0.0749,9.6011,2.1153,2.1715,17.773,0.0349,17.9612,0.28,0.0,NaN,NaN,NaN
10256156,0.541256,0.541259,0.541258,1.000006,304,0.0945191913199896,1.1,0.8,0.0925821051719773,1.1,0.8,16.39,0.83,212,0.0416956604766234,3.8,1.4,0.0426958516676574,3.8,1.4,16.45,0.63,1.8476,1.8504,356.5062,0.0741,9.3477,1.8475,1.8504,351.4938,0.0234,14.1472,0.2,1e-05,NaN,NaN,NaN
10260828,0.380655,0.380643,0.380649,0.999968,280,0.2158226466841176,5.3,2.2,0.2303517616937252,5.5,2.1,15.75,0.35,255,0.2547998341878389,28.9,4.6,0.2451043995202227,30.4,4.6,15.76,0.25,2.6271,2.6976,14.1653,0.0328,9.7681,2.6272,2.632,207.6843,0.0038,8.3125,0.1,3e-05,NaN,NaN,NaN
10278022,1.191088,1.191054,1.191071,0.999971,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8396,0.8696,33.3,0.0827,5.7241,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,NaN,NaN,NaN
10281107,0.907187,2.72154,1.814364,2.999977,259,0.070124786985112,13.2,2.2,0.1170187357004435,20.1,3.4,14.6,0.43,129,0.0848783107493972,9.0,1.9,0.1287897794850908,20.5,2.1,14.38,0.28,1.1023,1.152,20.1086,0.0283,4.9543,0.3674,0.3804,77.1605,0.0184,4.8974,0.15,0.99999,NaN,NaN,NaN
10321095,0.66958,0.0,0.33479,0.0,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4935,1.5118,54.6001,0.0683,16.9292,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NaN,NaN,NaN
10324405,0.569863,0.569861,0.569862,0.999996,457,0.0867875744302481,1.5,0.9,0.0852420455566286,1.4,1.0,16.14,0.8,66,0.0334342502763689,1.7,1.3,0.0330673041654348,1.7,1.3,16.17,0.64,1.7548,1.7886,29.5814,0.0508,12.4758,1.7548,1.7584,277.7778,0.0306,7.191,0.16,0.0,NaN,NaN,NaN
10325207,0.61443,0.614431,0.61443,1.000002,542,0.0674962016973693,0.9,0.8,0.0674962016973693,0.9,0.8,15.68,0.45,60,0.0375819412459919,1.2,1.0,0.0375539459065831,1.2,0.9,15.64,0.36,1.6275,1.6614,29.5421,0.048,9.0918,1.6275,1.6303,355.8719,0.1367,17.6949,0.09,0.0,NaN,NaN,NaN
