LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,LCtype,IndicatorType,ChiType,BE_score
50402,0.643303,0.643294,0.6433,1.0,284,0.1059760371436737,0.6,0.7,0.1076105312519578,0.6,0.7,16.15,0.48,61,0.0421190154917518,1.1,1.1,0.0420697244440236,1.0,1.1,16.1,0.38,1.5545,1.6223,14.7351,0.0776,7.1946,1.9127,1.916,295.858,0.0149,2.2053,0.1,1e-05,1,NaN,NaN,NaN
62892,0.530776,0.530785,0.5308,1.0,276,0.1085350041630939,1.1,0.9,0.1311037021179746,2.0,1.2,16.08,0.62,61,0.0849482129585269,6.6,2.4,0.076758523892022,6.8,2.3,16.1,0.42,1.884,1.9519,14.7319,0.0658,7.1233,1.884,1.9434,16.8265,0.0291,4.9825,0.2,2e-05,1,NaN,NaN,NaN
136668,0.532923,0.532929,0.5329,1.0,310,0.1230664253042087,1.6,1.1,0.151065421032335,3.3,1.2,16.18,0.82,65,0.0430195964775485,5.5,1.6,0.0575509956638652,20.9,2.3,16.16,0.67,1.8764,1.9095,30.2847,0.055,6.9948,1.8764,1.9396,15.8403,0.0801,8.7778,0.15,1e-05,1,NaN,NaN,NaN
141414,0.33569,0.335669,0.3357,0.9999,278,0.1191250803034982,0.6,0.8,0.1806359865674719,1.3,1.1,16.11,0.41,64,0.0577120853974731,1.2,1.3,0.1181508662385264,9.1,2.4,16.1,0.31,2.9789,3.0467,14.7504,0.0365,11.7628,1.4896,1.4928,306.2787,0.0211,4.728,0.1,6e-05,1,NaN,NaN,NaN
142794,0.470787,0.470802,0.4708,1.0,270,0.0950032410640133,1.8,1.0,0.1163598574116653,2.7,1.2,15.93,0.72,63,0.0464470106158112,11.9,2.3,0.0483772304336561,12.8,2.4,15.85,0.72,2.1241,2.1848,16.488,0.048,9.3912,2.124,2.1851,16.3626,0.0286,6.0733,0.0,3e-05,2,NaN,NaN,NaN
158779,0.609207,0.609189,0.6092,1.0,293,0.1010858572079121,3.7,1.6,0.1066417674698486,4.1,1.6,15.1,0.47,58,0.0879728376333374,7.2,2.4,0.0853030610325655,7.1,2.4,15.07,0.4,1.6415,1.6443,352.7337,0.0468,6.5501,1.6416,1.7126,14.0736,0.033,5.5345,0.07,3e-05,1,NaN,NaN,NaN
162255,0.512747,0.512744,0.5127,1.0,266,0.0715225155272165,5.7,1.6,0.2287020195111999,27.2,3.6,15.21,0.96,120,0.0247552387397147,2.4,1.4,0.049984888087342,13.5,2.5,15.29,0.77,1.9503,1.9531,355.8719,0.1132,9.6283,1.9503,2.0025,19.1791,0.0796,31.598,0.19,1e-05,1,NaN,NaN,NaN
174389,0.334036,0.33404,0.334,1.0,270,0.1187030146329644,4.5,1.4,0.7174206024911831,19.7,4.6,14.93,0.27,59,0.0534696961920718,1.1,1.2,0.1109347367979844,8.3,2.6,14.94,0.26,2.9937,3.0643,14.1693,0.0338,12.5913,2.9937,2.9981,222.9654,0.02,7.5238,0.01,1e-05,1,NaN,NaN,NaN
215632,0.572162,0.572163,0.5722,1.0,286,0.0509776775049182,0.9,1.0,0.1101620630806918,7.7,1.4,15.64,0.75,50,0.0228933825925863,1.6,1.0,0.0407644579404507,5.4,1.9,15.64,0.58,1.7478,1.8182,14.1975,0.0841,7.7553,1.7478,1.826,12.7861,0.0346,3.1471,0.17,0.0,2,NaN,NaN,NaN
258499,0.401505,0.401504,0.4015,1.0,275,0.1248213394714467,2.7,1.5,0.1408391229673543,3.2,1.7,15.23,0.34,36,0.0271948697900903,2.0,0.7,0.0307411758478191,1.8,0.8,15.31,0.33,2.4906,2.5613,14.1413,0.0219,8.7935,1.2453,1.2661,48.0654,0.0832,4.3622,0.01,0.0,1,NaN,NaN,NaN
263541,0.558218,0.558218,0.5582,1.0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7914,1.8621,14.1513,0.1188,9.7432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NaN,NaN,NaN
303860,0.499321,0.492164,0.4957,0.9857,280,0.0036781399373725,36.3,5.0,0.182241750058351,14.2,2.4,-70.14,86.75,65,0.0539523922716586,23.4,2.8,0.2405430540327111,115.8,8.4,15.64,0.71,2.0027,2.0319,34.3053,0.1461,12.3877,1.0006,1.0296,34.4947,0.0792,6.5764,86.04,0.01444,1,NaN,NaN,NaN
393084,0.530027,0.530033,0.53,1.0,493,0.0932405362184246,1.6,1.1,0.1780147544421425,5.3,1.5,16.18,0.96,49,0.0312640926642226,3.4,1.5,0.0399124580781207,12.2,1.7,16.33,0.74,1.8867,1.9447,17.2369,0.0476,11.2661,1.0008,1.0386,26.5182,0.1032,5.2486,0.22,1e-05,2,NaN,NaN,NaN
418785,0.700122,0.70012,0.7001,1.0,263,0.1198915073201436,1.4,0.8,0.1339718115461413,1.8,0.9,16.54,0.56,50,0.0347246833554703,1.3,0.9,0.0465008368865854,1.7,1.1,16.52,0.44,1.4283,1.477,20.5508,0.0626,7.9313,1.4283,1.4685,24.9066,0.0484,4.7223,0.12,0.0,1,NaN,NaN,NaN
437483,0.699234,0.699235,0.6992,1.0,316,0.1170333257786089,0.5,0.7,0.1701119301335085,0.8,0.8,16.56,0.37,49,0.051979566743385,0.8,0.9,0.0595946203504475,0.9,1.1,16.46,0.28,1.4301,1.464,29.4942,0.0866,8.8553,1.4302,1.4637,29.8329,0.058,5.5507,0.09,0.0,2,NaN,NaN,NaN
439441,0.709248,0.709247,0.7092,1.0,349,0.1718968471905616,2.1,1.3,0.2493011054652686,3.9,1.6,16.08,0.36,49,0.0504806127522916,1.1,1.1,0.049547306713383,1.7,1.0,15.99,0.28,1.4099,1.4718,16.1603,0.0329,6.5681,2.0029,2.068,15.3551,0.0439,6.6981,0.08,0.0,1,NaN,NaN,NaN
514883,0.557723,0.557737,0.5577,1.0,289,0.1151620922947133,5.3,1.7,0.1380646213623662,8.8,1.9,15.43,0.55,56,0.0558484503263237,11.3,1.8,0.0605141651570661,10.5,2.1,15.45,0.42,1.793,1.8472,18.4655,0.0566,8.1238,1.793,1.8567,15.6937,0.0368,4.7547,0.13,3e-05,1,NaN,NaN,NaN
664583,0.602994,0.603021,0.603,1.0,449,0.1159036053841335,1.8,1.1,0.1256597358996025,2.0,1.1,16.18,0.56,48,0.0640806636021812,4.7,2.2,0.0650553464899995,4.8,2.1,16.12,0.46,1.6584,1.6612,357.7818,0.0407,10.5905,1.6584,1.667,116.6181,0.0639,8.6314,0.1,4e-05,2,NaN,NaN,NaN
717668,0.426744,0.426758,0.4268,1.0,302,0.1121652944160575,1.6,1.2,0.9478888125832527,18.4,4.7,15.47,0.32,18,0.025521699675488,0.5,0.5,0.0198014261086492,0.8,0.5,15.44,0.31,2.3433,2.4138,14.1834,0.0556,12.8463,1.5651,1.568,350.2627,0.2438,4.6714,0.01,3e-05,1,NaN,NaN,NaN
737951,0.357023,0.357023,0.357,1.0,273,0.2320347274382548,6.0,2.2,0.5138721473205012,10.5,3.2,15.8,0.43,55,0.1275019670573731,12.1,3.4,0.1477102616828079,15.7,3.7,15.73,0.38,2.8009,2.8038,353.3569,0.041,16.2037,0.9337,0.9665,30.4599,0.0618,3.6359,0.05,0.0,1,NaN,NaN,NaN
771232,0.54093,0.540941,0.5409,1.0,301,0.0560725677237025,1.1,1.0,0.1082718201899285,8.4,1.6,15.48,0.93,56,0.0298299589191804,2.3,1.3,0.0523562245390914,21.0,2.1,15.56,0.72,1.8487,1.9257,12.9811,0.0776,11.0819,1.8486,1.9257,12.9744,0.1283,6.9954,0.21,2e-05,1,NaN,NaN,NaN
798477,0.651627,0.651611,0.6516,1.0,294,0.1383636388574938,2.0,1.2,0.1627785419595859,3.1,1.3,16.09,0.61,4,7.756249734939463e-06,0.1,0.4,6.104595474248672e-06,0.2,0.2,-357.14,713.64,1.5346,1.5984,15.6838,0.0881,4.7069,0.1636,0.1687,198.4127,65.2675,16.0221,713.03,2e-05,1,NaN,NaN,NaN
803829,0.595281,0.595286,0.5953,1.0,270,0.0417543170193131,8.7,2.3,0.0809858283539479,26.8,4.1,14.16,0.91,59,0.0259848424036772,4.9,1.9,0.0241547825086258,11.6,1.8,14.16,0.81,1.6799,1.7205,24.5912,0.0937,6.0599,1.6799,1.7412,16.3119,0.031,4.5511,0.1,1e-05,1,NaN,NaN,NaN
810169,0.465185,0.465212,0.4652,1.0001,289,0.1407287344064615,6.0,2.1,0.1659292289285012,8.6,2.4,15.47,0.77,59,0.0534578163328539,10.3,2.5,0.0492119181905292,11.4,2.3,15.73,0.61,2.1497,2.2232,13.6017,0.066,9.937,2.1496,2.223,13.6184,0.0364,8.6093,0.16,6e-05,1,NaN,NaN,NaN
843294,0.374216,0.374214,0.3742,1.0,290,0.1234279512599683,3.3,1.4,0.2363083881254702,10.6,2.3,15.53,0.36,57,0.0513718210772877,1.8,1.2,0.0515764789951845,1.4,1.2,15.48,0.31,2.6723,2.706,29.6252,0.0287,11.4573,1.3362,1.3393,316.9572,0.1486,11.3686,0.05,1e-05,1,NaN,NaN,NaN
872620,0.549247,0.549248,0.5492,1.0,282,0.0791124372729934,1.1,1.0,0.2068106723736623,7.8,1.9,16.12,0.85,272,0.0434065257385193,2.8,1.5,0.1132588666937391,23.5,3.0,16.19,0.63,1.8207,1.8289,121.2856,0.0437,8.4914,1.8207,1.8303,103.6269,0.0136,7.6183,0.22,0.0,1,NaN,NaN,NaN
880588,0.600138,0.600134,0.6001,1.0,295,0.1104185700512317,3.2,1.2,0.196460441597638,9.4,1.5,16.08,0.91,75,0.0507948928210199,7.5,1.9,0.0790302976730871,28.0,2.5,16.18,0.7,1.6663,1.691,40.5268,0.0618,7.4387,1.6663,1.6691,354.6099,0.0737,12.1826,0.21,1e-05,1,NaN,NaN,NaN
895953,0.658156,0.658154,0.6582,1.0,297,0.1159356380087823,0.5,0.7,0.160976793440187,1.0,0.9,16.42,0.46,66,0.0500621563133663,1.4,1.1,0.0687032394986853,2.6,1.4,16.47,0.38,1.5194,1.5528,29.976,0.082,6.3073,1.5194,1.5222,348.4321,0.104,17.581,0.08,0.0,1,NaN,NaN,NaN
