LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
10260828,0.380655,0.380643,0.380649,0.999968,280,0.2158226466841176,5.3,2.2,0.2303517616937252,5.5,2.1,15.75,0.35,255,0.2547998341878389,28.9,4.6,0.2451043995202227,30.4,4.6,15.76,0.25,2.6271,2.6976,14.1653,0.0328,9.7681,2.6272,2.632,207.6843,0.0038,8.3125,0.1,3e-05,NaN,NaN,NaN
10341978,0.559224,0.559223,0.559224,0.999998,255,0.0455759804803524,0.8,0.8,0.0455759804803524,0.8,0.8,15.56,0.77,383,0.0286619512345743,2.1,1.3,0.0280891065609782,2.2,1.2,15.58,0.6,1.7882,1.8559,14.7678,0.0836,7.6632,1.7882,1.793,207.2539,0.0067,6.9814,0.17,0.0,NaN,NaN,NaN
11187857,0.61294,0.612943,0.612942,1.000005,343,0.1311187139976087,1.4,0.9,0.1361177327871243,1.4,0.9,16.22,0.57,254,0.0334329978637592,2.1,1.2,0.033420069768316,2.1,1.2,16.21,0.45,1.6315,1.6942,15.949,0.0555,4.9877,1.6315,1.67,25.9673,0.0054,9.2934,0.12,0.0,NaN,NaN,NaN
11224124,0.580491,0.580476,0.580483,0.999974,318,0.1367241651071944,1.6,1.0,0.1493655909329576,1.7,1.1,16.24,0.67,356,0.0547675149699948,3.6,1.6,0.0540613137770858,3.8,1.6,16.3,0.45,1.7227,1.7537,32.2841,0.0779,7.0265,1.7227,1.729,158.1028,0.0039,8.786,0.22,3e-05,NaN,NaN,NaN
11428827,0.357285,0.714568,0.535926,1.999994,262,0.106047914712493,1.4,0.9,0.2156332947472414,5.3,1.7,15.86,0.34,263,0.0622382730961641,1.7,1.1,1.083242316584532,41.2,8.2,15.88,0.26,2.7989,2.8669,14.7037,0.036,11.9252,1.3994,1.4522,18.9699,0.0075,6.1954,0.08,0.66666,NaN,NaN,NaN
1164182,0.37408,0.124693,0.249386,0.333332,316,0.1224232014014949,1.2,1.0,0.1086886715787029,1.2,1.0,16.39,0.52,264,0.0476921529776374,4.2,1.8,0.0349261569940357,3.1,1.4,16.06,0.53,2.6732,2.6845,88.6918,0.0268,20.2126,8.0197,8.0245,208.1165,0.0077,25.9416,0.01,1.0,NaN,NaN,NaN
13423223,0.634672,0.634669,0.63467,0.999995,254,0.0861352789193388,0.9,0.8,0.0899422267495102,0.9,0.8,16.21,0.71,277,0.0547431523441505,5.8,1.7,0.0557345273213328,5.9,1.7,16.2,0.57,1.5756,1.6182,23.4659,0.0941,4.5074,1.5756,1.5784,357.1429,0.0592,22.1332,0.14,0.0,NaN,NaN,NaN
15074884,0.637853,0.637848,0.63785,0.999992,263,0.0535677833224748,1.1,0.8,0.0508027857609331,1.0,0.8,15.59,0.76,318,0.0374604602074848,3.9,1.5,0.0390097335594626,4.0,1.5,15.61,0.62,1.5678,1.6017,29.4551,0.058,6.1424,1.5678,1.5719,239.521,0.0076,8.4498,0.14,1e-05,NaN,NaN,NaN
15075296,0.524657,0.524659,0.524658,1.000004,266,0.0610103505710876,1.0,0.8,0.0592139621678065,1.0,0.8,15.79,1.04,355,0.0284360050422223,2.9,1.6,0.0295421810970415,3.0,1.6,15.9,0.78,1.906,1.9229,59.0493,0.0851,6.2268,1.906,1.9102,236.1275,0.0063,9.5481,0.26,0.0,NaN,NaN,NaN
15383124,0.191283,0.063761,0.127522,0.333333,290,0.1972020381506987,1.2,1.0,0.2085398942713723,1.1,1.0,16.29,0.34,342,0.1024236536130966,5.8,1.7,0.1084895035023872,6.1,1.8,16.33,0.23,5.2279,5.4512,4.4782,0.0077,10.5618,7.8419,8.1944,2.8361,0.0005,9.9921,0.11,1.0,NaN,NaN,NaN
