LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
29848,0.55702,0.55704,0.55703,1.000036,301,3.0,1.4,3.3,1.6,16.01,0.56,43,12.6,3.5,15.4,3.9,15.75,0.93,1.7953,1.8328,26.6205,0.0455,7.4839,1.7952,1.7982,333.3333,0.2573,10.0729,0.37,4e-05,NaN,NaN,NaN
50402,0.643303,0.643294,0.643298,0.999986,284,0.6,0.7,0.6,0.7,16.15,0.48,586,1.8,1.1,2.3,1.2,16.24,0.69,1.5545,1.6223,14.7351,0.0776,7.1946,1.5545,1.5918,26.842,0.0027,8.9208,0.21,1e-05,NaN,NaN,NaN
62892,0.530776,0.530785,0.53078,1.000017,276,1.1,0.9,1.1,1.0,16.08,0.62,771,19.8,3.2,20.8,3.2,15.96,0.64,1.884,1.9519,14.7319,0.0658,7.1233,1.884,1.9433,16.8634,0.0048,13.1609,0.02,2e-05,NaN,NaN,NaN
91437,0.674733,0.674737,0.674735,1.000006,177,2.8,1.3,2.8,1.3,14.98,0.87,564,5.6,2.0,5.8,2.0,14.98,1.21,1.4821,1.5498,14.758,0.0816,4.427,1.4821,1.4849,355.8719,0.0233,16.1566,0.34,1e-05,NaN,NaN,NaN
95250,0.31387,0.313876,0.313873,1.000019,222,0.8,0.8,0.9,0.8,16.71,0.48,916,3.0,1.4,4.0,1.5,16.68,0.46,3.186,3.2565,14.1844,0.0377,9.9986,3.186,3.1889,342.4658,0.0028,13.4528,0.02,2e-05,NaN,NaN,NaN
104455,0.997195,0.997587,0.997391,1.000393,119,3.4,1.6,3.5,1.6,16.5,4141.12,44,184.1,17.6,176.2,15.0,15.04,42446.41,1.0028,1.0058,336.1345,0.1699,8.8527,1.0024,1.0499,21.0682,0.1855,1.43,38305.29,0.00039,NaN,NaN,NaN
108513,0.473809,1.000362,0.737086,2.111319,282,4.0,1.4,15.6,2.6,15.97,0.86,42,161.1,10.9,188.7,14.6,-141.98,26072.93,2.1106,2.1465,27.8203,0.0523,6.5907,0.9996,1.0034,266.3116,0.6408,14.2553,26072.07,0.71437,NaN,NaN,NaN
136668,0.532923,0.532929,0.532926,1.000011,310,1.6,1.1,1.7,1.1,16.18,0.82,918,17.0,2.3,18.0,2.4,16.1,0.78,1.8764,1.9095,30.2847,0.055,6.9948,1.8764,1.9396,15.8391,0.0132,17.7235,0.04,1e-05,NaN,NaN,NaN
141414,0.33569,0.335669,0.33568,0.999937,278,0.6,0.8,1.2,1.0,16.11,0.41,919,2.6,1.5,11.2,2.9,16.05,0.37,2.9789,3.0467,14.7504,0.0365,11.7628,2.9791,2.993,71.8907,0.0057,20.7571,0.04,6e-05,NaN,NaN,NaN
142794,0.470787,0.470802,0.470794,1.000032,270,1.8,1.0,2.1,1.1,15.93,0.72,63,11.9,2.3,15.3,2.8,15.85,0.72,2.1241,2.1848,16.488,0.048,9.3912,2.124,2.1851,16.3626,0.0286,6.0733,0.0,3e-05,NaN,NaN,NaN
158779,0.609207,0.609189,0.609198,0.99997,293,3.7,1.6,4.3,1.6,15.1,0.47,616,34.2,3.9,35.6,3.9,15.19,0.68,1.6415,1.6443,352.7337,0.0468,6.5501,1.6415,1.6444,350.2627,0.0123,16.5371,0.21,3e-05,NaN,NaN,NaN
162255,0.512747,0.512744,0.512745,0.999994,266,5.7,1.6,5.5,1.6,15.21,0.96,1119,6.2,1.6,5.8,1.6,15.16,1.31,1.9503,1.9531,355.8719,0.1132,9.6283,1.9503,1.9765,38.1243,0.0161,27.1254,0.35,1e-05,NaN,NaN,NaN
163933,0.339629,0.679246,0.509438,1.999965,306,1.0,0.9,24.1,5.7,15.31,0.45,53,1.5,0.9,40.7,7.6,15.33,0.35,2.9444,2.9472,353.3569,0.0529,23.3486,1.4722,1.5272,18.1802,0.042,4.9121,0.1,0.66665,NaN,NaN,NaN
172382,0.458309,0.458308,0.458308,0.999998,227,1.5,1.1,1.6,1.1,15.49,1.16,1461,10.2,2.4,10.2,2.4,15.52,1.1,2.1819,2.2435,16.2536,0.0881,6.0856,2.1819,2.2716,11.1595,0.0145,13.2218,0.06,0.0,NaN,NaN,NaN
174389,0.334036,0.33404,0.334038,1.000012,270,4.5,1.4,4.6,1.4,14.93,0.27,786,2.2,1.4,2.6,1.5,14.9,0.33,2.9937,3.0643,14.1693,0.0338,12.5913,2.9937,2.9968,320.0,0.0036,20.7813,0.06,1e-05,NaN,NaN,NaN
186102,0.647419,0.647425,0.647422,1.000009,188,0.6,0.7,0.5,0.7,15.97,0.89,574,2.6,1.3,2.7,1.3,15.94,1.11,1.5446,1.5889,22.5785,0.1076,7.7676,1.5446,1.5501,182.1494,0.0027,10.2867,0.22,1e-05,NaN,NaN,NaN
215632,0.572162,0.572163,0.572162,1.000002,286,0.9,1.0,0.9,1.0,15.64,0.75,441,3.4,1.4,3.6,1.4,15.62,0.99,1.7478,1.8182,14.1975,0.0841,7.7553,1.7478,1.7507,336.7003,0.0101,18.2748,0.24,0.0,NaN,NaN,NaN
258499,0.401505,0.401504,0.401505,0.999998,275,2.7,1.5,2.7,1.5,15.23,0.34,537,2.9,1.6,3.0,1.7,15.25,0.36,2.4906,2.5613,14.1413,0.0219,8.7935,2.4906,2.5182,36.2384,0.0067,16.4915,0.02,0.0,NaN,NaN,NaN
263541,0.558218,0.558221,0.55822,1.000005,270,15.8,2.9,16.2,3.0,15.3,0.64,503,110.4,6.6,110.5,6.8,15.39,0.82,1.7914,1.8621,14.1513,0.1188,9.7432,1.7914,1.8025,89.9685,0.0021,7.5968,0.18,1e-05,NaN,NaN,NaN
303860,0.499321,0.492164,0.495742,0.985667,280,36.3,5.0,28.0,3.7,-70.14,86.75,639,83.8,4.3,593.9,20.3,15.62,1.08,2.0027,2.0319,34.3053,0.1461,12.3877,2.0318,2.0464,68.7049,0.0089,20.8319,85.67,0.01444,NaN,NaN,NaN
309626,0.595841,0.997215,0.796528,1.673626,215,21.0,2.9,126.0,9.3,14.7,0.68,40,445.4,16.5,273.0,12.6,-868751.09,868885.53,1.6783,1.6811,353.3569,0.103,5.9692,1.0028,1.0305,36.1011,0.2344,3.9803,868884.85,0.5039,NaN,NaN,NaN
355767,0.499298,0.521363,0.51033,1.044192,180,9.5,3.4,9.1,3.2,6.02,4622.25,114,4.5,1.8,391.0,20.7,16.37,1.12,2.0028,2.0132,95.9693,0.0401,1.5264,1.918,1.924,167.2241,0.064,7.4553,4621.13,0.04324,NaN,NaN,NaN
