objectID,raLIN,decLIN,raSDSS,decSDSS,r,ug,gr,ri,iz,JK,<mL>,std,rms,Lchi2,LP1,phi1,S,prior,nobs
10004892,206.20259,34.05875,206.202469,34.058662,16.76,1.14,0.24,0.08,0.01,-0.01,16.84,0.24,0.22,0.93,-0.17,0.13,-1,0,269
10030349,207.17722,41.91895,207.177231,41.918797,14.52,1.19,-0.2,-0.11,-0.07,0.25,15.33,0.25,0.26,2.12,0.04,-0.15,-1,0,255
10040133,206.65706,43.5433,206.657028,43.543236,16.01,1.16,0.25,0.09,0.03,0.32,16.02,0.16,0.19,1.22,0.09,-0.15,-1,0,257
1004849,169.29755,6.26519,169.297485,6.265203,16.36,1.17,0.24,0.08,-0.0,0.45,16.57,0.32,0.37,1.91,-0.34,-0.23,-1,0,607
1005497,169.71355,6.96319,169.713531,6.963072,15.71,1.18,0.19,0.06,-0.01,0.16,16.05,0.19,0.24,1.56,-0.18,-0.02,-1,0,607
10064356,207.06108,5.64943,207.060974,5.649392,16.46,1.15,0.25,0.09,0.03,0.03,16.38,0.19,0.18,1.02,-0.2,0.05,-1,0,291
10066464,206.94501,5.34694,206.944962,5.346962,15.9,1.16,0.18,0.06,-0.0,0.19,15.91,0.31,0.21,1.51,0.3,31.44,-1,0,274
10071455,206.22371,6.74128,206.223587,6.741248,15.59,1.14,-0.0,-0.04,-0.05,0.18,15.62,0.3,0.14,1.55,-0.23,-0.17,1,0,269
10084768,207.9926,-4.60359,207.992432,-4.603579,16.48,1.15,0.24,0.09,0.06,0.56,16.42,0.23,0.26,1.4,-0.19,0.03,-1,0,388
10085065,207.22037,-3.21427,207.220245,-3.214271,14.94,1.11,0.11,0.04,-0.02,0.14,14.97,0.14,0.19,1.94,-0.47,-0.1,-1,0,444
10132759,206.45459,7.38065,206.454544,7.380644,15.05,1.01,0.23,0.06,-0.02,0.09,15.21,0.33,0.19,1.82,-0.32,-0.07,-1,0,260
10141859,207.69328,-5.97549,207.693237,-5.97536,15.17,1.16,0.17,0.06,-0.01,0.1,15.36,0.24,0.28,2.2,-0.16,-0.22,-1,0,484
10164624,209.4958,2.58745,209.495773,2.587467,15.97,1.28,0.49,0.16,0.04,0.44,15.97,0.12,0.16,0.97,-0.53,-0.01,-1,0,252
10178590,208.75813,-0.09999,208.758163,-0.100046,16.28,1.03,0.02,-0.03,-0.04,-0.02,16.36,0.13,0.15,0.89,-1.28,-0.01,-1,0,283
10183351,208.52197,0.74042,208.521881,0.740297,16.31,1.23,-0.03,-0.06,-0.07,-0.02,16.56,0.18,0.22,0.9,-0.13,0.05,1,0,259
1019294,169.55083,53.46008,169.550766,53.459976,15.84,1.1,0.02,-0.04,-0.06,0.37,15.96,0.15,0.19,0.93,-0.11,0.17,-1,0,278
10256108,208.40666,21.84653,208.406662,21.846382,15.28,1.23,-0.02,-0.06,-0.04,0.45,15.87,0.31,0.38,2.29,-0.33,-0.0,1,0,291
10256156,208.49306,22.59197,208.492981,22.591896,16.74,1.23,0.16,0.03,-0.01,0.52,16.98,0.28,0.34,1.21,-0.27,-0.01,-1,0,304
10260828,209.64821,22.56209,209.648148,22.561989,15.62,1.17,-0.04,-0.06,-0.05,0.1,15.89,0.16,0.21,1.25,0.18,-0.16,-1,0,280
10278022,209.18864,26.1114,209.188583,26.111385,16.54,1.16,0.12,0.04,-0.02,0.14,16.55,0.15,0.17,0.68,0.08,0.03,1,0,262
10281107,209.34938,26.32247,209.349243,26.322409,14.51,1.26,0.42,0.14,0.01,0.33,14.62,0.17,0.14,1.81,0.43,-0.27,-1,0,259
10321095,208.91963,-2.68965,208.919601,-2.689821,16.82,1.13,0.14,0.03,-0.05,-0.02,16.74,0.14,0.16,0.55,-0.17,0.12,-1,0,443
10324405,209.48897,-2.9284,209.488937,-2.928472,16.41,1.13,0.21,0.06,0.02,0.21,16.66,0.24,0.29,1.29,-0.24,-0.16,1,0,457
10325207,209.25528,-2.08974,209.255295,-2.089725,15.65,1.18,0.2,0.05,0.0,0.3,15.98,0.13,0.17,1.22,-0.21,-0.17,-1,0,542
10330471,209.71785,-2.43737,209.717804,-2.437493,16.54,1.21,0.24,0.09,0.05,0.43,16.69,0.19,0.25,0.88,-0.23,0.04,-1,0,688
10336985,209.54771,32.53806,209.547668,32.537975,16.19,0.99,0.3,0.11,0.0,0.5,16.27,0.13,0.13,0.8,-0.81,-0.11,-1,0,261
10341978,208.18024,33.5747,208.180191,33.574619,15.72,1.27,0.11,0.01,-0.02,-0.03,16.11,0.2,0.22,1.45,-0.25,-0.01,-1,0,255
10355826,208.95869,36.48468,208.958618,36.484657,15.95,1.16,0.22,0.09,-0.0,0.15,15.96,0.23,0.3,1.8,-0.21,-0.25,-1,0,407
10397082,208.70351,49.22696,208.703445,49.226929,15.63,1.16,0.24,0.08,-0.02,-0.04,15.58,0.31,0.37,2.24,-0.3,-0.2,-1,0,255
10403458,209.85313,5.83644,209.853088,5.836339,15.39,1.19,0.02,-0.03,-0.05,0.03,15.55,0.15,0.2,1.71,-0.53,-0.0,1,0,251
10420063,208.11526,-4.84728,208.115189,-4.847239,14.68,1.12,0.21,0.05,-0.01,0.15,14.67,0.31,0.37,2.98,-0.01,0.15,-1,0,488
10471777,208.82118,7.84703,208.821136,7.846983,16.45,1.14,0.35,0.11,0.01,0.41,16.58,0.12,0.14,0.51,-0.51,0.01,-1,0,255
10480983,208.99963,-5.25399,208.999542,-5.25407,16.44,1.17,0.09,0.01,-0.04,0.33,16.5,0.15,0.2,0.8,-0.48,0.02,-1,0,515
10481905,209.05557,-5.48382,209.05542,-5.483827,15.5,1.14,0.16,0.03,0.01,0.46,15.65,0.24,0.3,2.1,-0.01,-0.09,-1,0,510
10488093,208.01872,-5.10307,208.018539,-5.103138,14.71,1.14,0.14,0.0,-0.03,0.34,15.08,0.18,0.23,2.16,-0.25,0.12,-1,0,495
10494061,209.32213,9.4419,209.322052,9.441809,15.94,1.16,0.23,0.02,-0.0,0.27,16.15,0.17,0.19,1.31,0.06,0.06,-1,0,256
10495321,209.57646,9.13527,209.576401,9.135236,16.18,1.21,-0.13,-0.12,-0.06,0.15,16.93,0.33,0.38,1.5,-0.28,-0.03,-1,0,278
10498524,209.01831,9.14243,209.018234,9.142374,16.97,1.16,0.25,0.08,0.04,-0.01,16.92,0.21,0.21,0.96,-0.15,-0.16,-1,0,266
10503746,208.74167,10.40162,208.741608,10.401569,15.27,1.12,0.22,0.05,0.02,0.41,15.36,0.23,0.24,2.25,-0.24,-0.18,-1,0,264
10505581,208.71481,10.03742,208.714767,10.037456,16.44,1.12,0.21,0.07,0.0,0.3,16.48,0.22,0.22,1.39,-0.2,-0.14,-1,0,282
10509093,208.71559,-8.91858,208.715485,-8.918706,16.34,1.21,0.37,0.14,0.05,0.6,16.4,0.13,0.16,0.64,-0.46,0.03,-1,0,452
1051321,169.46269,7.61782,169.462662,7.617844,15.16,1.16,0.1,0.02,-0.04,0.13,15.23,0.15,0.17,1.79,-0.48,0.16,-1,0,558
10513982,208.47545,-7.87947,208.475372,-7.879507,14.83,1.26,0.51,0.14,0.02,0.39,14.66,0.18,0.24,2.17,-0.44,0.04,-1,0,461
10517655,208.43108,-8.44457,208.431,-8.444516,16.86,1.13,0.11,0.06,-0.03,0.78,16.9,0.27,0.28,1.11,0.02,0.09,-1,0,411
1051858,169.13261,8.41639,169.132523,8.416349,16.85,1.13,0.22,0.08,-0.01,0.72,16.86,0.14,0.18,0.57,-0.2,-0.05,1,0,552
