ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,LINEARobjectID
119.526443,46.96212,1.166,0.369,1.018,0.269,-0.2541378,0.619,-0.313,-0.567,16.37,301,1,29848
119.712975,52.149574,1.175,0.386,1.1,0.205,-0.1915912,0.487,-0.291,-0.879,16.46,284,1,50402
119.187241,53.379295,1.123,0.207,1.074,0.21,-0.275092,0.624,-0.547,-0.322,16.54,276,1,62892
120.29496,40.932457,1.18,0.237,1.087,0.368,-0.1708712,0.753,-0.121,-0.927,15.39,177,1,91437
120.124542,40.65662,1.178,-0.145,0.835,0.277,-0.5032516,0.55,0.14,-0.65,16.98,222,2,95250
121.150764,42.483574,1.267,-0.13,1.038,0.739,-0.2529628,0.865,-0.34,-0.134,16.88,119,1,104455
120.915886,42.512482,1.236,-0.054,0.799,0.063,-0.3243967,0.847,-1.169,1.164,16.69,282,1,108513
120.797836,46.850952,1.138,0.14,0.66,-0.122,-0.2733372,0.905,-0.137,0.315,16.73,310,1,136668
120.575195,48.373753,1.298,-0.124,0.947,0.323,-0.4740603,0.479,0.289,-1.209,16.25,278,2,141414
121.182045,48.228256,1.192,0.288,1.095,0.163,-0.3271737,0.773,-0.152,-1.272,16.37,270,1,142794
120.751266,51.866173,1.198,0.376,1.309,0.416,-0.2152422,0.467,-0.524,-0.609,15.42,293,1,158779
120.154015,52.63969,1.178,0.304,1.179,0.399,-0.2900994,0.922,-0.877,-0.093,15.93,266,1,162255
121.947922,52.004822,1.249,-0.036,0.785,0.337,-0.4689952,0.455,0.11,-1.318,15.53,306,2,163933
120.347374,53.593864,1.191,-0.24,0.658,0.018,-0.3388388,1.089,-1.142,0.401,16.44,227,1,172382
121.822433,53.5383,1.263,-0.023,0.697,0.245,-0.4762093,0.321,0.143,-0.89,15.05,270,2,174389
120.642136,65.84993,1.152,0.338,1.04,0.111,-0.1888111,0.771,-0.23,-1.025,16.44,188,1,186102
122.677216,32.412285,1.196,0.344,0.977,0.334,-0.2424787,0.609,-0.391,-0.94,16.12,286,1,215632
123.443306,38.050678,1.19,0.003,0.93,0.277,-0.396308,0.351,-0.077,-0.971,15.43,275,2,258499
123.002663,40.655533,1.177,0.354,1.179,0.208,-0.2532047,0.684,-0.727,-0.133,15.82,270,1,263541
122.766258,46.893044,1.239,0.3,1.443,0.44,-0.3079087,0.885,-0.642,-0.348,16.21,280,1,303860
122.413269,48.790382,1.214,0.146,0.781,0.29,-0.224882,0.677,-0.839,-0.396,15.27,215,1,309626
122.431648,57.504322,1.282,-0.035,0.629,0.12,-0.282854,0.997,-0.185,-0.946,16.98,180,1,355767
125.665428,25.98872,1.177,0.308,1.131,0.564,-0.275702,0.897,-0.518,-0.356,16.87,493,1,393084
124.868622,30.915112,1.158,0.364,1.045,-0.088,-0.1548151,0.603,0.284,0.743,16.87,263,1,418785
124.550468,29.237726,1.258,0.328,1.136,0.319,-0.2714669,0.486,-0.273,-0.859,15.61,144,1,420327
124.590233,31.571192,1.163,0.165,1.015,0.256,-0.1553756,0.422,0.257,-0.544,16.75,316,1,437483
124.954468,32.286797,1.207,0.297,1.117,0.158,-0.1492019,0.477,4.398,46.366,16.29,349,1,439441
125.643463,43.034058,1.206,0.152,1.096,0.5,-0.2535783,0.595,-0.564,0.249,15.8,289,1,514883
124.235634,44.579464,1.379,-0.148,0.793,0.121,-0.5264124,0.628,-0.045,-1.051,15.81,243,2,516954
124.601967,45.734329,1.216,-0.08,0.763,0.273,-0.4290183,0.463,0.019,-1.302,15.58,251,2,523832
124.551598,54.888447,1.001,0.237,1.19,0.324,-0.2214631,0.477,-0.268,0.49,14.73,213,1,558961
126.718132,22.681683,1.325,-0.243,1.238,0.37,-0.3136927,0.804,-0.871,-0.114,15.53,556,1,608497
126.595757,28.401266,1.181,0.026,1.269,0.565,-0.4527152,0.536,0.102,0.096,16.89,404,2,658512
127.899635,27.058247,1.166,0.287,1.077,0.16,-0.2196928,0.606,-0.349,-0.726,16.53,449,1,664583
126.711281,28.117901,1.183,0.036,1.081,0.378,-0.2212614,0.524,-0.107,-0.175,16.82,336,1,670864
127.906685,36.105385,1.14,0.103,0.976,0.211,-0.3698346,0.344,0.196,-1.37,15.6,302,2,717668
127.967537,38.537231,1.206,-0.032,0.76,0.149,-0.5383784,0.334,-0.366,-0.894,15.41,305,2,734545
127.251083,37.170456,1.212,-0.015,0.854,0.204,-0.447305,0.508,-0.261,-0.629,16.07,273,2,737951
126.453407,43.477623,1.149,0.179,1.357,0.294,-0.2668621,0.782,-0.839,-0.401,16.17,301,1,771232
127.562714,49.840202,1.156,0.222,1.202,0.363,-0.1859996,0.674,0.658,4.57,16.46,294,1,798477
126.964096,51.918354,1.157,0.293,1.063,0.224,-0.2252766,0.776,-0.607,-0.757,14.74,270,1,803829
127.450302,51.852364,1.176,0.264,0.874,0.147,-0.3323753,0.876,-0.599,-0.46,16.06,289,1,810169
126.366295,53.580585,1.199,0.352,1.376,0.495,-0.229612,0.674,-0.413,-0.071,16.37,221,1,813450
127.463974,60.044727,1.176,0.358,1.156,0.289,-0.3247745,1.052,-0.865,-0.615,15.83,194,1,836895
169.260147,18.717014,1.222,-0.02,1.137,0.317,-0.4268776,0.406,3.137,17.536,15.72,290,2,843294
168.612457,-15.078803,1.239,-0.062,0.697,0.211,-0.4690668,0.383,0.127,-1.447,15.6,105,2,851614
168.652374,-16.179455,1.122,0.168,1.096,0.151,-0.4107711,0.537,-0.45,-0.472,16.32,100,2,851716
168.424408,20.809628,1.166,0.346,1.122,0.302,-0.2035297,0.471,-0.132,-0.476,16.55,294,1,856862
168.1436,21.637032,1.161,0.316,1.021,0.199,-0.1967539,0.35,-0.316,-0.661,15.96,322,1,869112
169.520172,22.499134,1.214,0.092,1.011,0.396,-0.2602315,0.814,-0.265,-1.086,16.67,282,1,872620
169.144638,24.187469,1.082,0.309,1.146,0.069,-0.2018495,0.672,-0.536,-0.867,15.76,200,1,880568
169.278519,23.970745,1.102,0.301,1.366,0.387,-0.2217459,0.861,-0.818,0.174,16.83,295,1,880588
169.215576,24.296745,1.07,0.355,1.294,0.525,-0.1393536,0.425,-0.057,-0.561,16.35,302,1,883073
168.401672,27.650881,1.169,0.339,1.647,0.694,-0.1816718,0.466,-0.267,-0.745,16.72,297,1,895953
169.230225,28.559521,1.226,0.308,1.018,0.17,-0.2295442,0.586,-0.274,-1.219,14.98,285,1,899832
169.431274,3.723548,1.135,0.302,1.278,0.342,-0.2945597,0.822,-0.429,-0.483,15.99,418,1,924301
168.130676,39.812428,1.147,0.161,1.128,0.538,-0.2862752,0.891,-1.167,0.385,16.3,330,1,966279
168.248001,42.811531,1.134,0.336,1.028,0.196,-0.1915642,0.857,-0.364,-0.579,16.6,227,1,967924
169.951187,41.630974,1.162,0.342,1.228,0.336,-0.2370688,0.731,-0.041,-1.161,16.24,235,1,968962
169.237518,42.088608,1.134,0.364,1.361,0.41,-0.160108,0.631,-0.537,-0.49,16.02,220,1,969277
169.034073,41.048706,1.184,0.336,1.189,0.245,-0.2275126,0.556,-0.052,-0.772,16.19,275,1,970326
169.177338,44.11755,1.183,0.01,0.822,0.204,-0.2071414,0.479,-0.121,-1.066,15.19,236,1,976746
169.439743,47.355183,1.219,-0.077,0.67,-0.011,-0.4999997,0.351,-0.379,-0.267,16.08,283,2,989567
169.436066,47.75312,1.19,0.025,0.755,0.166,-0.4593227,0.411,0.182,-0.774,15.62,131,2,991055
168.498428,49.102016,1.125,0.387,1.16,0.24,-0.0998056,0.323,0.49,1.07,16.1,205,1,993105
169.044342,5.634354,1.208,0.137,1.185,0.633,-0.1815141,0.643,-0.309,-0.608,16.59,564,1,999528
169.297485,6.265203,1.182,0.317,1.199,0.456,-0.3386948,1.021,-0.74,-0.383,16.57,607,1,1004849
169.713531,6.963072,1.192,0.243,0.965,0.164,-0.1846879,0.584,-0.255,-0.56,16.05,607,1,1005497
168.211075,51.534416,1.127,0.245,1.056,0.344,-0.2970786,0.901,-0.529,-0.375,16.66,228,1,1013889
169.357468,57.331566,1.233,-0.09,0.853,0.276,-0.4851495,0.327,-0.223,0.348,16.14,140,2,1032186
169.48912,59.391106,1.187,0.353,1.106,0.312,-0.2073793,0.405,-0.743,0.484,15.37,167,1,1034627
169.255936,67.637978,1.211,-0.074,0.629,0.207,-0.5199758,0.415,0.234,-1.272,15.02,220,2,1049602
169.462662,7.617844,1.172,0.121,0.79,0.13,-0.4808535,0.357,1.421,7.635,15.23,558,2,1051321
169.132523,8.416349,1.138,0.295,1.554,0.718,-0.1992225,0.44,0.244,-0.339,16.86,552,1,1051858
169.776321,7.050864,1.18,0.372,1.357,0.531,-0.1986978,0.453,0.089,-0.526,16.5,607,1,1058132
168.678024,7.842072,1.181,0.188,1.277,0.374,-0.3339399,1.054,-0.768,-0.654,16.77,549,1,1059786
168.968567,10.857431,1.202,-0.057,0.992,0.595,-0.4541315,0.524,-0.29,-0.566,16.2,548,2,1080552
170.805527,1.021448,1.144,0.308,1.367,0.367,-0.1874261,0.77,-0.505,-0.798,16.62,590,1,1092244
171.236816,0.280535,1.116,0.312,1.35,0.421,-0.2065267,0.707,-0.627,-0.591,15.32,559,1,1102647
171.774719,12.774167,1.161,0.248,1.327,0.298,-0.2807119,0.739,-0.685,-0.339,16.04,345,1,1111522
171.362244,12.097942,1.181,0.276,0.995,0.054,-0.307213,0.954,-0.896,-0.084,16.83,541,1,1112498
170.358612,12.579955,1.106,0.192,1.143,0.346,-0.4131438,0.513,-0.124,-0.728,15.7,384,2,1113422
170.382339,-9.381232,1.207,0.054,0.738,0.009,-0.4790843,0.432,-0.057,-0.717,16.52,169,2,1124773
170.750809,-9.618495,1.144,0.274,1.209,0.569,-0.2076797,0.494,0.168,-0.978,15.68,184,1,1127427
171.923477,-10.582987,1.251,-0.192,1.105,0.817,-0.5039731,0.635,0.163,-0.525,16.84,144,2,1128811
171.309937,-10.020171,1.19,0.226,0.999,0.085,-0.3303373,0.88,-0.555,-0.615,15.74,151,1,1130401
170.024094,-10.048211,1.116,0.278,1.167,0.425,-0.254424,0.847,-0.62,-0.894,15.77,144,1,1132871
170.331818,13.632204,1.191,0.12,0.953,0.164,-0.2700363,0.752,-0.562,-0.728,16.18,310,1,1145534
170.642776,-11.102414,1.261,0.031,0.716,-0.069,-0.3108253,0.942,-1.069,-0.159,16.16,145,1,1152390
171.683823,17.85321,1.095,0.095,1.009,0.349,-0.3840668,0.337,0.031,-1.102,14.58,305,2,1169665
171.143555,20.818182,1.157,0.32,1.432,0.439,-0.161472,0.493,-0.175,-1.216,16.02,254,1,1179977
170.555161,22.687811,1.211,-0.043,0.93,0.219,-0.4661098,0.285,0.03,-1.524,14.85,261,2,1197898
171.392624,25.652969,1.181,-0.053,0.715,0.037,-0.5459666,0.502,-0.053,-1.194,16.17,277,2,1210627
171.898666,26.60338,1.122,0.345,1.29,0.461,-0.2000422,0.702,-0.279,-0.968,16.07,297,1,1212611
170.448395,3.474343,1.179,0.381,1.278,0.393,-0.1989134,0.371,2.09,13.256,14.74,468,1,1240665
171.706451,4.085573,1.182,0.058,0.836,0.24,-0.3680806,0.335,0.77,0.192,15.26,626,2,1241164
171.606598,4.806827,1.18,0.276,1.069,0.142,-0.2701277,0.726,-0.682,-0.244,16.33,469,1,1244554
171.429184,-2.402048,1.146,0.35,1.225,0.215,-0.2474599,0.728,-0.909,-0.296,15.91,417,1,1249142
171.18515,34.195477,1.19,0.326,1.281,0.329,-0.2342651,0.613,-0.498,-0.422,15.98,293,1,1265213
171.557617,34.067039,1.175,0.337,1.459,0.84,-0.2477564,0.705,-0.663,0.347,16.77,280,1,1271119
171.933319,36.328339,1.113,0.202,1.007,0.102,-0.4175775,0.455,-0.119,-1.2,16.0,324,2,1273940
170.707047,44.755936,1.119,-0.193,1.063,0.047,-0.5466526,0.368,-0.198,-1.251,14.52,252,2,1305630
170.308594,44.237854,1.169,0.272,1.315,0.385,-0.2777998,0.633,-0.109,0.305,16.01,262,1,1307948
170.684616,5.396411,1.206,0.118,0.933,0.337,-0.2360385,0.578,-0.585,-0.613,15.67,260,1,1332201
170.111084,51.537971,1.187,0.349,1.315,0.185,-0.1811495,0.614,0.514,0.825,16.6,187,1,1348385
170.901611,62.635674,1.12,0.381,1.189,0.294,-0.2297513,0.894,1.347,4.873,16.36,181,1,1372405
171.391602,63.215458,1.168,0.061,0.914,0.141,-0.5042711,0.363,-0.465,-0.831,15.33,189,2,1374889
170.800018,8.15503,1.155,0.244,1.098,0.036,-0.2824377,0.967,-0.509,-0.434,16.56,524,1,1390653
170.678375,7.576974,1.199,-0.062,0.792,0.247,-0.4790464,0.357,0.722,0.735,15.21,499,2,1391917
170.084152,-8.818089,1.188,-0.02,0.697,0.257,-0.2543531,0.765,-0.631,-0.479,16.7,173,1,1426563
172.051422,2.751531,1.113,0.325,1.125,0.391,-0.290781,0.927,-0.333,-1.222,16.16,528,1,1434107
172.311539,1.2593,1.095,0.209,1.046,0.418,-0.418097,0.502,-0.332,-0.619,15.78,545,2,1435279
172.693146,2.617494,1.164,0.107,1.057,0.396,-0.4678191,0.364,0.257,-0.397,15.76,574,2,1440217
173.844803,-0.895189,1.189,0.278,1.373,0.313,-0.2168757,0.77,-0.465,-0.786,15.55,435,1,1448299
173.129395,11.340947,1.166,0.292,0.918,0.006,-0.2878168,0.777,0.221,2.589,15.41,498,1,1457871
172.179993,12.476124,1.198,0.185,0.77,0.199,-0.2932822,0.863,-0.787,-0.615,15.75,405,1,1462162
173.287811,12.635736,1.206,-0.049,0.739,0.347,-0.487776,0.373,-0.057,-1.081,16.44,256,2,1468233
173.57666,13.388298,1.226,-0.132,0.784,0.422,-0.1511209,0.641,-0.142,-0.69,16.08,308,1,1478037
172.082275,13.855763,1.277,-0.185,0.632,0.225,-0.5271251,0.389,-0.25,-1.186,16.19,340,2,1482761
172.141922,15.533037,1.148,0.243,1.089,0.256,-0.2706336,0.843,-0.377,-0.741,16.69,323,1,1491155
172.06041,15.913183,1.157,-0.027,1.015,0.226,-0.4497912,0.424,0.047,-1.233,15.94,293,2,1491775
172.614075,15.619328,1.168,0.199,0.767,0.048,-0.3192485,0.899,-0.454,-0.885,16.36,331,1,1491942
172.822678,16.665663,1.118,0.132,1.335,0.434,-0.4477528,0.575,-0.375,-0.587,16.53,339,2,1492054
172.95134,16.947945,1.082,0.356,1.022,0.205,-0.202268,0.672,-0.694,-0.538,15.56,339,1,1492129
173.891876,17.838152,1.179,0.353,1.401,0.268,-0.1944257,0.798,0.141,-1.225,16.28,242,1,1499034
173.778717,20.962376,1.177,0.273,1.216,0.305,-0.3274948,1.014,-0.671,-0.675,16.24,141,1,1508774
173.056198,22.822311,1.108,0.215,1.105,0.359,-0.3889898,0.381,-0.023,-1.197,16.17,310,2,1520272
172.794327,25.62079,1.132,0.199,1.064,0.156,-0.3007895,0.769,-0.584,-0.574,15.8,410,1,1539000
172.288788,27.74382,1.224,-0.069,0.783,0.224,-0.4708958,0.377,-0.029,-1.209,15.27,295,2,1551619
172.179428,28.322762,1.258,-0.155,0.822,0.334,-0.5466832,0.366,6.099,44.462,15.82,273,2,1553288
173.604248,30.201559,1.3,-0.233,0.507,0.008,-0.5643801,0.42,0.051,-1.196,15.82,316,2,1559109
172.957169,-2.240579,1.035,0.16,1.141,0.248,-0.169928,0.831,-0.974,0.089,15.6,426,1,1584721
173.523178,-2.346095,1.121,0.138,0.904,0.247,-0.3904867,0.416,-0.104,-1.405,15.27,432,2,1585633
172.391541,31.228901,1.215,0.241,0.764,-0.078,-0.2272186,0.506,1.059,8.616,16.75,264,1,1593736
173.189423,34.341866,1.23,-0.08,1.257,0.515,-0.532275,0.378,0.809,2.52,16.4,311,2,1602363
173.097565,38.533611,1.131,0.328,1.178,-0.021,-0.3114111,0.939,-0.421,-0.929,15.96,334,1,1615764
172.190369,39.376274,1.166,-0.031,0.743,0.161,-0.3807355,0.422,0.24,-0.358,16.42,307,2,1626282
172.716293,39.352745,1.167,0.326,1.267,0.482,-0.2329065,0.746,-0.499,-0.493,16.19,317,1,1627564
173.989868,41.226318,1.186,0.356,0.991,0.273,-0.2214595,0.555,-0.099,-0.368,15.35,273,1,1634230
172.418854,42.740177,1.148,0.269,1.165,0.283,-0.319562,0.924,-0.465,-0.944,15.35,230,1,1634758
172.257767,43.879875,1.154,0.321,1.307,0.369,-0.1774397,0.637,-0.188,-0.708,15.55,157,1,1637658
173.868713,45.324966,1.191,0.259,0.82,-0.041,-0.2140228,0.67,0.188,-0.295,16.92,256,1,1648028
173.132782,45.567238,1.16,0.327,1.294,0.576,-0.2284853,0.665,0.104,-0.094,16.59,196,1,1650268
173.831543,49.233284,1.188,-0.022,0.743,0.148,-0.5582718,0.365,0.125,-0.758,14.95,188,2,1656568
172.80751,-4.066454,1.213,-0.046,0.86,0.283,-0.1653352,0.632,-0.211,-1.086,15.68,441,1,1679845
173.939346,-4.924541,1.081,0.298,1.222,0.401,-0.2825093,0.761,-0.928,-0.189,16.24,420,1,1684856
173.391785,-3.590227,1.161,0.371,1.233,0.306,-0.1232149,0.407,0.349,-0.402,15.88,368,1,1685980
172.689133,52.462601,1.063,0.337,1.471,0.376,-0.1431195,0.439,0.003,-1.097,15.09,263,1,1691490
173.651031,60.305698,1.034,0.39,1.276,0.256,-0.2211356,0.472,-0.779,0.105,14.55,182,1,1710162
173.630661,64.565765,1.166,-0.022,0.712,0.135,-0.5352691,0.475,-0.086,-1.113,16.53,231,2,1720538
172.210449,7.347865,1.207,0.211,1.049,0.272,-0.2550431,0.647,-0.542,-0.585,15.86,372,1,1736308
173.812637,-5.544868,1.299,-0.135,0.575,0.188,-0.495948,0.415,0.999,3.902,15.88,226,2,1746311
173.434341,-5.102598,1.225,-0.097,0.865,0.366,-0.5083078,0.416,0.25,-0.308,15.93,463,2,1748058
172.079468,-5.473282,1.231,-0.187,0.879,0.326,-0.538281,0.564,0.016,-0.003,16.59,167,2,1749054
172.758286,-7.033083,1.132,0.228,0.862,0.027,-0.284478,0.817,-0.597,-0.283,16.47,236,1,1774383
172.414795,-7.778874,1.047,0.311,1.352,0.515,-0.2318083,0.723,-0.437,0.037,16.7,240,1,1780485
174.689011,2.550243,1.156,0.313,1.23,0.396,-0.2285411,0.664,-0.447,-0.869,15.74,520,1,1784750
174.797211,2.679136,1.144,0.245,1.004,0.441,-0.2427543,0.706,-0.716,0.443,16.74,521,1,1788821
175.66452,1.131214,1.178,0.255,1.29,0.551,-0.2720531,0.797,-0.892,0.225,15.64,509,1,1790596
174.358734,0.624141,1.215,0.276,1.442,0.513,-0.3011985,0.896,-0.892,0.26,16.75,553,1,1804606
174.045258,11.910814,1.134,0.231,1.23,0.219,-0.2140817,0.469,-0.049,-1.009,16.68,372,1,1817613
175.817307,12.545665,1.176,0.301,1.218,0.615,-0.3053974,1.009,-0.755,-0.402,16.88,304,1,1818091
175.555054,13.38567,1.157,0.151,0.861,0.12,-0.2715074,0.875,-0.574,-0.597,16.86,316,1,1828651
175.590942,15.467942,1.125,0.153,1.255,0.426,-0.46272,0.463,0.008,-0.674,16.75,320,2,1838988
175.324722,17.477432,1.168,0.248,1.276,0.422,-0.3420067,0.996,-0.46,-0.856,16.33,294,1,1852714
175.755051,19.051371,1.169,0.276,0.924,0.169,-0.246853,0.546,-0.669,-0.441,14.73,280,1,1857382
174.650253,20.726227,1.204,-0.21,0.763,0.21,-0.1968011,0.882,-0.29,-0.723,16.68,250,1,1863652
175.805893,21.136133,1.121,0.271,1.04,0.143,-0.2215202,0.882,-0.762,-0.622,15.53,267,1,1871916
174.614151,23.736048,1.116,0.231,0.973,0.221,-0.119115,0.378,-0.305,-0.701,15.99,301,1,1876491
174.5672,23.566439,1.174,0.075,1.031,0.208,-0.5003349,0.434,0.052,-1.046,14.89,303,2,1882088
175.683731,24.106068,1.159,0.192,1.139,0.316,-0.1579733,0.724,-0.095,-0.713,16.19,313,1,1882354
175.642807,26.448772,1.252,-0.072,0.572,-0.104,-0.175602,0.683,0.09,-0.732,16.56,273,1,1885158
175.543167,25.665697,1.153,0.154,1.049,0.325,-0.1862296,0.772,-0.544,-0.283,16.54,269,1,1890167
175.526489,3.597457,1.169,0.216,1.463,0.842,-0.1996225,0.313,-0.143,-0.473,16.63,548,1,1913043
175.499115,3.991697,1.192,0.089,1.109,0.293,-0.5089844,0.451,-0.157,-0.853,15.53,596,2,1915212
175.957916,4.552506,1.281,-0.173,0.728,0.366,-0.5638405,0.331,-0.13,-1.281,15.43,567,2,1918275
174.2211,-2.774764,1.189,-0.055,1.037,0.368,-0.5731424,0.428,0.093,-0.25,16.76,398,2,1925869
174.90892,-2.978814,1.19,0.305,1.287,0.283,-0.2476488,0.558,-0.824,0.202,14.6,305,1,1931336
174.165817,-1.421283,1.169,0.202,1.098,0.551,-0.1875914,0.474,0.09,-0.916,16.67,431,1,1936459
175.961838,33.35379,1.134,0.335,1.231,0.393,-0.2453803,0.746,-0.557,-0.437,15.44,236,1,1950085
175.922867,-3.059355,1.181,0.266,0.888,0.326,-0.2156845,0.749,-0.845,-0.299,15.78,438,1,2023155
174.510254,53.229332,1.117,0.312,1.452,0.314,-0.1846275,0.613,-0.567,-0.3,16.57,276,1,2041979
