index,Period,N
4898,0.5570232728489015,93
5523,0.6433117903487847,1535
5921,0.530769380343952,1541
6749,0.674729387150575,1560
6852,0.313881347754221,1632
124,0.5585177597048724,95
260,0.4738204225051577,92
1081,0.532920543140231,1645
1202,0.33567428955105433,1648
1254,0.47079658698676935,1659
1884,0.6091946888939831,1529
2011,0.512752907645681,2875
2075,0.3396335339718802,146
2352,0.4583044003004407,2870
2396,0.33404345017330217,1523
2783,0.6474464117442299,1397
3687,0.5721599934443383,1226
4771,0.8030073422364824,1025
4788,0.5582299315175333,1376
4912,0.492161909581361,1737
4928,0.5957960271199607,99
5086,0.521383035615104,322
5203,0.5300398916830626,1069
5280,0.7001111116258049,1234
5285,0.5352112256225724,2655
5338,0.6992157952006619,1139
5344,0.70924613128076,1237
5553,0.5577280314981871,1555
5557,0.2975739424486852,3132
5578,0.37238669426872223,99
5669,0.6005965333458566,130
5853,0.48562325908974446,206
6032,0.6030065561970891,1029
6056,0.6007625263083154,105
6184,0.42676035876012686,856
6223,0.2894840661942199,100
6230,1.0710625166618708,1570
6319,0.5409328031567017,1552
6393,0.6516228515212205,394
6415,0.5952744723013405,1519
6436,0.4652112506815393,1424
6447,0.5893894431382485,1517
6511,0.47339282334256644,1411
6527,0.3742086323361236,694
6568,1.2517624682121518,62
6619,0.17943546382357362,65
6621,0.5492485662455475,2506
6651,0.6282719187283297,65
6652,0.6001421137381232,881
6659,0.725473518423016,65
6690,0.6581444742308113,867
6700,0.589479686795176,51
6769,0.5074521386777817,570
6906,0.5172674118055364,1233
6911,0.6433378352498361,1397
6916,0.5793221297614977,1383
6917,0.6916807266010768,1293
6921,0.5922127331129408,1376
6937,0.6206623037278877,1296
6982,0.31621491936583024,179
6986,0.34727348761675203,267
6995,0.7946956820486614,1373
7009,0.6583875406608957,610
16,0.4584715739177526,572
17,0.6536288362864476,574
39,0.5045198158799781,1463
88,0.6202897622440486,1318
144,0.3020122569260945,1099
150,0.33048440566623577,613
154,0.6320958155227937,895
173,0.6328455842307316,559
178,0.4635136090915888,606
277,0.6495667955835744,657
314,0.6215533290784859,501
340,0.5239496287961801,892
346,0.49295554243649803,884
349,0.7725125510495745,48
390,0.6199119470167871,403
392,0.3133507801132445,395
400,0.4673524215010645,396
407,0.556601633270661,442
453,0.5369933566594217,48
471,0.4888482851301418,439
538,0.6895390674621081,62
583,0.3418785314297244,723
617,0.28446885940240646,1328
623,0.6308775100294279,1346
710,0.6325017982208958,538
712,0.4790514196809452,12
719,0.5369692866860762,570
729,0.5656397330684532,503
786,0.5830705365327506,1486
806,0.5652566032491749,1472
813,0.3823266387379821,1474
916,0.5274075435342033,1429
992,0.58072494351445,594
1033,0.6589468128956938,1446
1104,0.5891709156465617,961
1110,0.3131844438112529,1292
1144,0.5218855512809779,1021
1251,0.5567345570315544,431
1277,0.5119424953420002,549
1280,0.38186072487445005,567
1300,0.0,0
1326,0.6069485351319677,500
1359,0.5154350672138858,827
1370,0.39000320890328083,13
1388,0.32524697924696166,874
1425,0.7061446759683476,839
1447,0.2970736557925425,886
1477,0.5362614419621023,1005
1482,0.47946314018355113,847
1484,0.35665646816973506,1013
1486,0.6277350708491789,402
1510,0.6390925089949614,981
1563,0.47042271346494596,100
1606,0.40831560367362074,1262
1691,0.500271769239022,1305
1729,0.3381494303145676,1250
1740,0.2840010328607753,1313
1774,0.27265765743651266,1465
1875,0.6761795308001874,503
1877,0.8138646144010461,515
1903,0.5926311961295252,1479
1984,0.48818105651388505,720
2022,0.5849304953558732,533
2057,0.6005468009016246,1559
2059,0.4791137643794857,102
2069,0.6645754517335977,1625
2109,0.6109184575949164,1606
2122,0.5909035757738986,1630
2149,0.276522511676527,1541
2244,0.0,0
2261,0.5217723089555988,511
2262,0.052376227799229305,20
2273,0.7192372791182469,1453
2318,0.6009816459157739,3174
2345,0.2915564373897707,3132
2381,0.5558429199761314,578
2399,0.31919536331669485,455
