LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
1005497,0.653607,0.653605,0.653606,0.999997,607,0.0731019162235362,2.1,1.1,0.0731737793172606,2.1,1.1,15.66,0.6,45,0.0377459924769939,3.0,1.4,0.0384507043089482,3.1,1.4,15.62,0.51,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.549,52.6316,0.0836,7.2669,0.09,0.0,Z,,,
10085065,0.33749,0.337492,0.337491,1.000006,444,0.058549569311762,4.1,1.4,0.0632540052726622,4.2,1.5,14.73,0.4,68,0.0555171931769312,1.1,1.0,0.0514701706869201,1.0,0.9,14.74,0.31,2.963,2.9658,357.7818,0.086,23.7726,0.9877,0.9952,133.2445,0.1054,10.9103,0.09,1e-05,Z,,,
10178590,0.156539,0.185655,0.171097,1.185998,283,0.1868967496901426,2.0,1.1,0.6378875602133816,6.1,2.4,16.14,0.32,67,0.2093327826578402,9.5,2.7,0.5913312710576317,18.7,5.6,16.22,0.22,6.3882,6.3994,88.7311,0.0122,31.3137,1.569,1.6323,15.794,0.0267,5.9736,0.1,0.17017,,Z,7.0,period
10183351,0.749214,0.374602,0.561908,0.499993,259,0.1000769720960877,0.4,0.7,0.6155613924342166,5.5,2.3,16.34,0.46,67,0.0695144981415954,0.9,1.0,0.4125152495260835,24.5,5.3,16.38,0.3,1.3347,1.3531,54.5703,0.1227,10.7301,1.3348,1.3385,265.9574,0.0336,6.046,0.16,0.66668,L,,,
10420063,0.487395,0.487394,0.487394,0.999998,488,0.0518131694643486,67.9,4.2,0.0519356813533617,66.2,4.2,13.99,0.97,65,0.0583190106319436,19.5,3.7,0.0583190106319436,19.5,3.7,14.13,0.68,2.0517,2.0857,29.4421,0.0421,10.4333,2.0517,2.1007,20.4207,0.0899,22.549,0.29,0.0,,Z,10.0,amp
10481905,0.48472,0.484775,0.484748,1.000113,510,0.1163592439032196,18.1,2.6,0.2102340344855031,38.6,4.2,15.11,0.71,62,0.0669509266075213,50.4,3.3,0.1422897901445639,77.1,6.2,15.15,0.6,2.063,2.097,29.4898,0.0528,11.9191,1.0001,1.0046,220.5072,0.0278,3.9229,0.11,0.00011,,Z,11.0,period
10503746,0.573563,0.57357,0.573567,1.000012,264,0.0851732951320413,12.8,2.7,0.0812190910235284,13.7,2.7,14.87,0.83,103,0.0460606295242981,3.6,1.4,0.0496045449547137,3.9,1.5,15.03,0.54,1.7435,1.7576,70.9471,0.07,7.171,1.7435,1.7463,353.3569,0.0351,16.31,0.29,1e-05,L,,,
10623386,0.470593,0.470598,0.470596,1.000011,385,0.1034608507839891,2.7,1.1,0.1045094470261392,2.9,1.0,15.99,0.83,43,0.0945446919953059,17.3,3.4,0.0713695110883353,16.9,2.5,16.05,0.57,2.125,2.1588,29.5814,0.0801,10.9705,1.002,1.0176,64.082,0.1084,5.1089,0.26,1e-05,Z,,,
10734049,0.141507,0.424514,0.28301,2.999951,381,0.1797454916115219,1.5,1.1,0.2559076999980074,2.4,1.5,16.39,0.41,65,0.0867720000506791,28.6,2.8,0.0571679177162828,25.7,2.0,16.17,0.5,7.0668,7.1006,29.5334,0.0072,31.4534,2.0223,2.0306,119.9041,0.0331,7.5364,0.09,0.99999,,Z,7.0,period
10754530,1.60079,0.615484,1.108137,0.384488,279,0.1930847236427327,1.9,1.5,0.582542834991113,5.0,2.4,16.49,0.69,221,0.0476854280627053,1.9,1.3,1.6760848362319822,58.7,9.2,16.6,0.45,0.6247,0.6275,351.4938,0.1469,6.1273,1.6247,1.6309,162.7339,0.0052,8.204,0.24,0.88916,,,6.0,period
1080552,0.702908,0.351453,0.52718,0.499999,548,0.2720944956026248,8.2,2.5,1.1272864932112212,17.3,3.7,15.93,0.42,135,0.2025347774492662,30.3,5.0,0.6264982675688041,79.3,10.2,15.99,0.29,1.4227,1.4396,59.1191,0.0283,8.7082,2.8453,2.8922,21.3288,0.0237,6.5219,0.13,0.66667,,Z,10.0,period
