LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
29848,0.55702,0.55704,0.55703,1.000036,301,3.0,1.4,3.3,1.6,16.01,0.56,43,12.6,3.5,15.4,3.9,15.75,0.93,1.7953,1.8328,26.6205,0.0455,7.4839,1.7952,1.7982,333.3333,0.2573,10.0729,0.37,4e-05,,,5.0,
62892,0.530776,0.530785,0.53078,1.000017,276,1.1,0.9,1.1,1.0,16.08,0.62,771,19.8,3.2,20.8,3.2,15.96,0.64,1.884,1.9519,14.7319,0.0658,7.1233,1.884,1.9433,16.8634,0.0048,13.1609,0.02,2e-05,,,5.0,
136668,0.532923,0.532929,0.532926,1.000011,310,1.6,1.1,1.7,1.1,16.18,0.82,918,17.0,2.3,18.0,2.4,16.1,0.78,1.8764,1.9095,30.2847,0.055,6.9948,1.8764,1.9396,15.8391,0.0132,17.7235,0.04,1e-05,,,5.0,
141414,0.33569,0.335669,0.33568,0.999937,278,0.6,0.8,1.2,1.0,16.11,0.41,919,2.6,1.5,11.2,2.9,16.05,0.37,2.9789,3.0467,14.7504,0.0365,11.7628,2.9791,2.993,71.8907,0.0057,20.7571,0.04,6e-05,,Z,6.0,period
142794,0.470787,0.470802,0.470794,1.000032,270,1.8,1.0,2.1,1.1,15.93,0.72,63,11.9,2.3,15.3,2.8,15.85,0.72,2.1241,2.1848,16.488,0.048,9.3912,2.124,2.1851,16.3626,0.0286,6.0733,0.0,3e-05,,,5.0,
158779,0.609207,0.609189,0.609198,0.99997,293,3.7,1.6,4.3,1.6,15.1,0.47,616,34.2,3.9,35.6,3.9,15.19,0.68,1.6415,1.6443,352.7337,0.0468,6.5501,1.6415,1.6444,350.2627,0.0123,16.5371,0.21,3e-05,,,5.0,
162255,0.512747,0.512744,0.512745,0.999994,266,5.7,1.6,5.5,1.6,15.21,0.96,1119,6.2,1.6,5.8,1.6,15.16,1.31,1.9503,1.9531,355.8719,0.1132,9.6283,1.9503,1.9765,38.1243,0.0161,27.1254,0.35,1e-05,,,5.0,
174389,0.334036,0.33404,0.334038,1.000012,270,4.5,1.4,4.6,1.4,14.93,0.27,786,2.2,1.4,2.6,1.5,14.9,0.33,2.9937,3.0643,14.1693,0.0338,12.5913,2.9937,2.9968,320.0,0.0036,20.7813,0.06,1e-05,,,5.0,
258499,0.401505,0.401504,0.401505,0.999998,275,2.7,1.5,2.7,1.5,15.23,0.34,537,2.9,1.6,3.0,1.7,15.25,0.36,2.4906,2.5613,14.1413,0.0219,8.7935,2.4906,2.5182,36.2384,0.0067,16.4915,0.02,0.0,,Z,8.0,period
263541,0.558218,0.558221,0.55822,1.000005,270,15.8,2.9,16.2,3.0,15.3,0.64,503,110.4,6.6,110.5,6.8,15.39,0.82,1.7914,1.8621,14.1513,0.1188,9.7432,1.7914,1.8025,89.9685,0.0021,7.5968,0.18,1e-05,,,5.0,
