LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
439441,0.709248,0.709248,0.7092,1.0,349,0.1718968471905616,2.1,1.3,0.2493011054652686,3.9,1.6,16.08,0.36,48,0.0519881043696223,1.2,1.1,0.0496067244297501,1.9,1.1,15.99,0.28,1.4099,1.4718,16.1603,0.0329,6.5681,1.4099,1.4143,227.7904,0.0536,5.3214,0.08,0.0,Z,NaN,NaN
664583,0.602994,0.603021,0.603,1.0,449,0.1159036053841335,1.8,1.1,0.1256597358996025,2.0,1.1,16.18,0.56,47,0.0702562810686056,3.5,2.1,0.0738913972375887,3.7,2.2,16.19,0.4,1.6584,1.6612,357.7818,0.0407,10.5905,1.6582,1.6618,277.0083,0.0826,9.4402,0.16,4e-05,Z,NaN,NaN
798477,0.651627,0.651611,0.6516,1.0,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5346,1.5984,15.6838,0.0881,4.7069,0.1636,0.1669,309.119,143.7553,35.9709,0.0,2e-05,Z,NaN,NaN
843294,0.374216,0.748404,0.5613,1.9999,290,0.1234279512599683,3.3,1.4,0.9338460988709656,24.2,5.9,15.53,0.36,53,0.0475183787148285,1.3,1.1,0.4603920982228321,49.1,7.4,15.48,0.3,2.6723,2.706,29.6252,0.0287,11.4573,1.3362,1.3394,314.4654,0.1448,9.3913,0.06,0.66665,Z,NaN,NaN
880588,0.600138,0.60014,0.6001,1.0,295,0.1104185700512317,3.2,1.2,0.196460441597638,9.4,1.5,16.08,0.91,71,0.0409405575711297,6.5,1.6,0.0766316110067214,27.1,2.4,16.18,0.71,1.6663,1.691,40.5268,0.0618,7.4387,1.6663,1.6691,350.8772,0.1043,15.1599,0.2,0.0,L,NaN,NaN
924301,0.507503,0.50744,0.5075,0.9999,418,0.0955154247337387,13.8,1.9,0.0880026164741427,13.8,2.0,15.42,0.87,41,0.1115253564396099,95.1,5.7,0.1357872929831566,82.3,6.5,15.53,0.59,1.9704,2.0043,29.5072,0.0503,11.4848,3.9823,4.0036,47.081,0.0403,7.7536,0.28,0.00012,NaN,Z,7
1005497,0.653607,0.653604,0.6536,1.0,607,0.0731019162235362,2.1,1.1,0.076865284588892,2.3,1.1,15.66,0.6,42,0.0371296874267333,3.2,1.4,0.0354569740283284,3.1,1.3,15.62,0.51,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.549,52.6316,0.0963,7.5464,0.09,0.0,Z,NaN,NaN
1092244,0.649496,0.649558,0.6495,1.0001,590,0.1068267894579595,2.3,1.2,0.1105517641886892,2.4,1.2,16.09,0.72,77,0.1097978520403169,13.7,2.9,0.1298532377002309,21.7,3.7,16.17,0.47,1.5397,1.5735,29.5421,0.1267,13.4443,1.5393,1.6125,13.65,0.0724,1.0003,0.25,0.0001,NaN,Z,6
1212611,0.630896,0.630893,0.6309,1.0,297,0.0493084901714861,0.9,0.9,0.0520353524081541,1.4,0.9,15.64,0.75,159,0.0287481507033896,1.8,1.1,0.0333618371752368,2.3,1.2,15.66,0.58,1.585,1.5962,89.3256,0.0606,10.3725,1.5851,1.6388,18.5995,0.0277,6.1929,0.17,0.0,L,NaN,NaN
1615764,0.488189,0.488191,0.4882,1.0,334,0.0538450194999486,3.0,1.5,0.0772053810968988,7.3,1.8,15.32,1.07,80,0.0313835645680705,3.0,1.6,0.0339010306772697,4.3,1.7,15.43,0.83,2.0484,2.0712,43.8789,0.0866,11.1127,2.0484,2.0712,43.8212,0.0645,11.2128,0.24,0.0,Z,NaN,NaN
1784750,0.590825,0.590824,0.5908,1.0,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6925,1.7265,29.4724,0.0442,15.3336,2.0046,2.0221,57.3723,0.0709,5.8758,0.0,0.0,Z,NaN,NaN
1838988,0.344573,0.344569,0.3446,1.0,320,0.1437238748213375,0.6,0.7,0.4379529668546851,3.1,1.6,16.53,0.37,43,0.0968564083509262,3.2,1.8,0.1395857862322037,7.0,2.2,16.5,0.33,2.9021,2.9387,27.3411,0.0336,15.9295,1.4511,1.4671,62.6566,0.0631,6.4007,0.04,1e-05,Z,NaN,NaN
1876491,0.760128,0.760123,0.7601,1.0,301,0.1108493992556899,2.5,1.2,0.1381017516977982,3.5,1.4,15.74,0.41,148,0.0532169523207472,1.8,1.3,0.0525759407968909,2.1,1.3,15.71,0.3,1.3156,1.3365,47.8813,0.0635,6.5301,1.3156,1.3205,202.2245,0.0477,8.5224,0.11,1e-05,L,NaN,NaN
1890167,0.651279,0.0,0.3256,0.0,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5354,1.5596,41.4422,0.1056,7.9065,0.0,0.0,0.0,0.0,0.0,0.0,2.00024,L,NaN,NaN
1936459,0.649248,0.649238,0.6492,1.0,431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5402,1.5741,29.5203,0.0754,10.9704,1.5403,1.5654,39.8327,0.1052,6.8221,0.0,2e-05,Z,NaN,NaN
2023155,0.608582,0.608583,0.6086,1.0,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6432,1.677,29.5203,0.063,11.1155,3.3382,3.3504,82.3045,0.0581,8.3303,0.0,0.0,Z,NaN,NaN
2041979,0.653694,0.653639,0.6537,0.9999,276,0.1346473218004794,1.5,1.2,0.1374413014309049,1.5,1.2,16.14,0.63,288,0.1683982444830611,17.8,3.7,0.1603841965519103,22.4,3.6,16.22,0.33,1.5298,1.5944,15.4607,0.063,6.6223,1.5299,1.5347,207.2539,0.0164,9.8786,0.3,8e-05,NaN,Z,6
2050107,0.686454,0.686466,0.6865,1.0,190,0.0894162471521156,16.4,3.9,0.1248593842610493,59.2,4.6,14.22,0.78,296,0.0836121393216403,20.2,3.0,0.0782848364009175,14.8,2.8,14.35,0.55,1.4568,1.4906,29.5159,0.157,4.531,1.4567,1.4595,350.2627,0.0275,12.8492,0.23,2e-05,NaN,Z,6
2079147,0.617457,0.617458,0.6175,1.0,459,0.0741477677504628,0.9,0.8,0.1623190858810541,4.0,1.4,15.9,0.46,41,0.0439477117944713,1.4,1.1,0.0669876343716273,2.1,1.5,15.8,0.43,1.6195,1.6534,29.5377,0.0798,14.2038,1.6195,1.6407,47.2701,0.0553,5.2837,0.03,0.0,Z,NaN,NaN
2122319,0.359422,0.359424,0.3594,1.0,519,0.204048930722266,7.2,2.1,0.3355256617931075,12.3,2.8,15.64,0.38,42,0.1673028075551324,16.3,4.3,0.1331569145038384,17.9,4.1,15.66,0.34,2.7822,2.8161,29.5421,0.0269,16.6582,1.3911,1.4033,82.1693,0.057,5.3118,0.04,1e-05,Z,NaN,NaN
2243683,0.579777,0.5798,0.5798,1.0,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7248,1.7588,29.4204,0.0526,16.6097,1.0006,1.0046,248.4472,4.6862,27.1733,0.0,4e-05,Z,NaN,NaN
2252873,0.703487,0.703496,0.7035,1.0,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4215,1.4554,29.4507,0.0453,9.0001,2.0016,2.0048,311.042,0.5206,6.4239,0.0,1e-05,Z,NaN,NaN
2264042,0.655373,0.65539,0.6554,1.0,391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5258,1.5597,29.5465,0.065,8.5938,1.0035,1.0068,311.042,0.2297,9.0274,0.0,3e-05,Z,NaN,NaN
2462460,0.682155,0.0,0.3411,0.0,309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4659,1.4905,40.7581,0.0954,7.9786,0.0,0.0,0.0,0.0,0.0,0.0,1.99987,L,NaN,NaN
2464031,0.592292,0.592293,0.5923,1.0,336,0.0932876924972983,0.6,0.7,0.1069102424571064,0.7,0.8,16.39,0.6,135,0.0362641626554681,1.8,1.0,0.0365494405695627,1.7,1.0,16.37,0.47,1.6884,1.7167,35.2361,0.0691,8.1666,1.6884,1.6932,207.4689,0.0202,5.8335,0.13,0.0,L,NaN,NaN
2660232,0.614343,0.614344,0.6143,1.0,497,0.0850893894122822,0.6,0.7,0.1753834676296468,2.4,1.2,16.55,0.65,42,0.0379456834679224,0.7,0.9,0.0363273327038297,1.5,0.9,16.55,0.44,1.6278,1.6616,29.5159,0.0798,10.6209,0.9996,1.0034,267.3797,0.1327,6.0942,0.21,0.0,Z,NaN,NaN
