LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
158779,0.609207,0.609189,0.609198,0.99997,293,3.7,1.6,4.3,1.6,15.1,0.47,616,34.2,3.9,35.6,3.9,15.19,0.68,1.6415,1.6443,352.7337,0.0468,6.5501,1.6415,1.6444,350.2627,0.0123,16.5371,0.21,3e-05,,LZ4,7.0
263541,0.558218,0.558221,0.55822,1.000005,270,15.8,2.9,16.2,3.0,15.3,0.64,503,110.4,6.6,110.5,6.8,15.39,0.82,1.7914,1.8621,14.1513,0.1188,9.7432,1.7914,1.8025,89.9685,0.0021,7.5968,0.18,1e-05,,LZ5,7.0
393084,0.530027,0.530033,0.53003,1.000011,493,1.6,1.1,1.6,1.1,16.18,0.96,372,19.2,3.2,18.6,3.0,16.09,1.31,1.8867,1.9447,17.2369,0.0476,11.2661,1.8867,1.8896,347.2222,0.0235,16.1149,0.35,1e-05,,LZ4,6.0
514883,0.557723,0.557737,0.55773,1.000025,289,5.3,1.7,5.4,1.6,15.43,0.55,555,53.7,5.5,55.4,5.5,15.5,0.72,1.793,1.8472,18.4655,0.0566,8.1238,1.793,1.7958,357.1429,0.0149,17.9476,0.17,3e-05,,LZ5,8.0
737951,0.357023,0.357023,0.357023,1.0,273,6.0,2.2,6.0,2.2,15.8,0.43,871,42.4,6.7,42.4,6.7,15.77,0.34,2.8009,2.8038,353.3569,0.041,16.2037,2.8009,2.8039,332.2259,0.002,13.7006,0.09,0.0,,LZ5,6.0
803829,0.595281,0.595286,0.595284,1.000008,270,8.7,2.3,9.7,2.7,14.16,0.91,561,9.9,2.6,9.7,2.5,14.06,1.34,1.6799,1.7205,24.5912,0.0937,6.0599,1.6799,1.6828,335.5705,0.0082,17.8498,0.43,1e-05,,LZ3,5.0
810169,0.465185,0.465212,0.465198,1.000058,289,6.0,2.1,8.2,2.3,15.47,0.77,743,15.1,2.8,31.4,3.6,15.59,0.75,2.1497,2.2232,13.6017,0.066,9.937,2.1496,2.223,13.6082,0.0077,16.149,0.02,6e-05,,LZ3,5.0
836895,0.473399,0.473398,0.473398,0.999998,194,3.0,1.3,2.7,1.3,14.98,1.09,612,11.1,2.8,11.1,2.8,14.86,1.49,2.1124,2.1672,18.2415,0.113,9.0696,2.1124,2.1673,18.2232,0.0095,21.7736,0.4,0.0,,LZ3,5.0
924301,0.507503,0.50744,0.507472,0.999876,418,13.8,1.9,35.3,3.8,15.42,0.87,189,162.9,9.3,224.9,11.1,15.65,0.79,1.9704,2.0043,29.5072,0.0503,11.4848,1.9707,1.9763,178.4121,0.0219,18.8612,0.08,0.00012,,LZ5,8.0
970326,0.592233,0.592231,0.592232,0.999997,275,1.9,1.1,1.9,1.1,15.91,0.51,552,7.7,2.1,7.6,2.1,15.88,0.75,1.6885,1.7563,14.7656,0.0676,7.0802,1.6885,1.6992,93.2836,0.0052,18.7531,0.24,0.0,,LZ3,5.0
999528,0.658401,0.658407,0.658404,1.000009,564,1.8,1.2,1.9,1.2,16.22,0.57,213,21.7,2.7,22.0,2.6,16.21,0.92,1.5188,1.5527,29.5247,0.0685,14.9114,1.5188,1.551,31.0366,0.0156,13.0403,0.35,1e-05,,LZ3,5.0
1004849,0.458463,0.458467,0.458465,1.000009,607,6.5,1.3,6.8,1.3,15.71,1.14,193,14.7,2.6,16.4,2.5,15.58,1.6,2.1812,2.2151,29.4985,0.0453,12.0305,2.1812,2.2704,11.2039,0.0257,13.5826,0.46,1e-05,,LZ3,5.0
1005497,0.653607,0.653605,0.653606,0.999997,607,2.1,1.1,2.1,1.1,15.66,0.6,192,12.4,2.1,12.8,2.1,15.76,0.83,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.5481,55.1116,0.0233,12.4111,0.23,0.0,,LZ3,5.0
1034627,0.620331,0.620278,0.620304,0.999915,167,4.9,1.3,8.8,1.9,15.15,0.37,585,18.3,3.2,23.4,3.7,15.12,0.34,1.612,1.6257,73.2332,0.0632,4.7082,1.6122,1.6187,154.0832,0.0016,9.0874,0.03,9e-05,,LZ4,6.0
1092244,0.649496,0.649558,0.649527,1.000095,590,2.3,1.2,5.2,1.7,16.09,0.72,326,32.1,3.6,51.6,5.3,16.15,0.58,1.5397,1.5735,29.5421,0.1267,13.4443,1.5395,1.564,40.833,0.0138,14.1927,0.14,0.0001,,LZ4,7.0
1130401,0.467372,0.467362,0.467367,0.999979,151,23.0,2.8,24.7,3.3,15.22,0.75,189,53.8,5.8,56.0,5.9,15.13,0.8,2.1396,2.2293,11.1539,0.1046,5.3663,2.1397,2.1451,182.6484,0.0144,10.5373,0.05,2e-05,,LZ5,5.0
1244554,0.536875,0.536962,0.536919,1.000162,469,9.5,1.8,18.4,2.7,15.78,0.71,312,14.8,2.3,177.1,7.5,15.58,0.97,1.8626,1.8966,29.4638,0.0687,12.3222,1.8623,1.9325,14.2481,0.0416,15.6071,0.26,0.00016,,LZ3,7.0
1271119,0.56527,0.565257,0.565264,0.999977,280,2.9,1.0,3.0,0.9,16.24,0.69,521,45.5,4.0,47.2,4.3,16.3,0.9,1.7691,1.8366,14.806,0.1103,5.8052,1.7691,1.7739,208.3333,0.0071,16.6725,0.21,2e-05,,LZ4,6.0
1307948,0.527474,0.527415,0.527444,0.999888,262,6.7,1.8,9.6,1.6,15.63,0.49,655,35.2,4.5,49.8,5.2,15.53,0.54,1.8958,1.9302,29.0909,0.0682,6.336,1.896,1.9494,18.7441,0.01,20.0332,0.05,0.00011,,LZ4,6.0
1332201,0.580711,0.580731,0.580721,1.000034,260,9.2,1.6,9.8,1.6,15.22,0.59,208,50.1,4.2,60.5,4.9,15.23,0.83,1.722,1.7559,29.4942,0.0723,12.3986,1.722,1.7918,14.3225,0.0045,6.6974,0.24,3e-05,,LZ4,7.0
1374889,0.322775,0.313186,0.31798,0.970292,189,8.5,2.6,17.7,4.6,15.16,0.28,546,3.1,1.6,155.9,18.4,15.03,0.44,3.0981,3.126,35.9066,0.0208,5.6824,3.193,3.2037,93.5454,0.0017,16.1983,0.16,0.03016,,LZ3,7.0
1390653,0.521867,0.521871,0.521869,1.000008,524,4.2,1.3,4.1,1.3,15.83,1.1,310,44.9,4.1,47.1,4.4,15.79,1.28,1.9162,1.9502,29.4291,0.0516,10.3776,1.9162,2.0026,11.5768,0.0326,51.297,0.18,1e-05,,LZ4,6.0
1448299,0.606912,0.60694,0.606926,1.000046,435,32.5,2.7,35.1,3.0,15.05,0.77,267,35.6,5.4,40.8,5.4,15.03,0.7,1.6477,1.6816,29.4551,0.0762,16.5293,1.6476,1.6531,180.9955,0.0363,15.03,0.07,5e-05,,LZ5,8.0
1491155,0.536245,0.53625,0.536248,1.000009,323,1.5,0.8,1.6,0.9,16.14,0.89,328,17.7,2.4,19.2,2.3,16.01,1.23,1.8648,1.9338,14.5022,0.0618,9.4822,1.8648,1.9351,14.2187,0.0161,12.594,0.34,1e-05,,LZ3,5.0
1491942,0.479459,0.47946,0.47946,1.000002,331,5.7,1.9,5.9,1.9,15.72,0.91,468,29.5,3.1,29.5,3.1,15.78,0.85,2.0857,2.1271,24.1284,0.0701,11.3765,2.0857,2.0886,341.2969,0.0083,9.7198,0.06,0.0,,LZ4,5.0
1492054,0.356655,0.356649,0.356652,0.999983,339,3.4,1.6,3.5,1.6,16.25,0.44,528,28.3,5.1,29.1,5.2,16.24,0.41,2.8038,2.8066,357.7818,0.0249,7.3369,2.8039,2.8068,338.4095,0.0059,13.6406,0.03,2e-05,,LZ5,5.0
1539000,0.500288,0.500279,0.500284,0.999982,410,6.1,1.5,6.5,1.5,15.15,0.89,468,66.3,3.6,65.2,3.4,15.08,1.13,1.9989,2.0021,303.9514,0.0487,10.3001,1.9989,2.0017,355.8719,0.0388,21.2223,0.24,2e-05,,LZ4,6.0
1593736,0.592628,0.59265,0.592639,1.000037,264,2.1,1.2,2.2,1.2,16.45,0.37,532,35.9,5.7,36.4,5.5,16.63,0.36,1.6874,1.7584,14.0795,0.0353,8.9538,1.6873,1.691,272.4796,0.0024,10.2752,0.01,4e-05,,LZ5,6.0
1748058,0.310237,0.310176,0.310206,0.999803,463,2.2,1.4,13.5,4.2,15.74,0.38,272,30.7,5.7,40.7,7.1,15.76,0.23,3.2233,3.2572,29.5203,0.0428,20.2894,3.224,3.2297,173.3102,0.0077,8.322,0.15,0.0002,,LZ5,7.0
