LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
62892,0.530776,0.530785,0.53078,1.000017,276,1.1,0.9,1.1,1.0,16.08,0.62,771,19.8,3.2,20.8,3.2,15.96,0.64,1.884,1.9519,14.7319,0.0658,7.1233,1.884,1.9433,16.8634,0.0048,13.1609,0.02,2e-05,,,5.0,
258499,0.401505,0.401504,0.401505,0.999998,275,2.7,1.5,2.7,1.5,15.23,0.34,537,2.9,1.6,3.0,1.7,15.25,0.36,2.4906,2.5613,14.1413,0.0219,8.7935,2.4906,2.5182,36.2384,0.0067,16.4915,0.02,0.0,,Z,8.0,period
664583,0.602994,0.603021,0.603008,1.000045,449,1.8,1.1,2.8,1.4,16.18,0.56,613,11.1,2.5,15.2,2.8,16.14,0.53,1.6584,1.6612,357.7818,0.0407,10.5905,1.6583,1.6666,120.4094,0.0118,13.1021,0.03,4e-05,,,5.0,
843294,0.374216,0.374214,0.374215,0.999995,290,3.3,1.4,3.4,1.4,15.53,0.36,358,5.1,1.7,5.1,1.7,15.44,0.36,2.6723,2.706,29.6252,0.0287,11.4573,2.6723,2.6778,180.1802,0.0114,13.3321,0.0,1e-05,,,5.0,
970326,0.592233,0.592231,0.592232,0.999997,275,1.9,1.1,1.9,1.1,15.91,0.51,552,7.7,2.1,7.6,2.1,15.88,0.75,1.6885,1.7563,14.7656,0.0676,7.0802,1.6885,1.6992,93.2836,0.0052,18.7531,0.24,0.0,,,5.0,
1102647,0.621541,0.621548,0.621544,1.000011,559,2.8,1.3,2.3,1.2,14.8,0.78,285,4.6,1.7,3.8,1.5,14.72,0.79,1.6089,1.6428,29.5116,0.1039,14.9387,1.6089,1.6144,180.9955,0.0444,16.4619,0.01,1e-05,,,5.0,
1271119,0.56527,0.565257,0.565264,0.999977,280,2.9,1.0,3.0,0.9,16.24,0.69,521,45.5,4.0,47.2,4.3,16.3,0.9,1.7691,1.8366,14.806,0.1103,5.8052,1.7691,1.7739,208.3333,0.0071,16.6725,0.21,2e-05,,,5.0,
1784750,0.590825,0.590826,0.590826,1.000002,520,1.2,0.8,1.2,0.8,15.27,0.72,108,6.5,1.7,6.5,1.7,15.24,0.98,1.6925,1.7265,29.4724,0.0442,15.3336,1.6925,1.7718,12.6239,0.0132,4.6072,0.26,0.0,,,5.0,
1915212,0.309753,0.309755,0.309754,1.000006,596,6.3,1.8,6.4,1.8,15.29,0.41,295,2.1,1.6,2.2,1.6,15.34,0.32,3.2284,3.2623,29.4898,0.0263,21.8912,3.2284,3.2339,180.6685,0.0102,13.8259,0.09,1e-05,,,5.0,
2099155,0.29379,0.293791,0.29379,1.000003,505,2.2,1.2,2.2,1.2,16.0,0.43,280,2.3,1.3,2.4,1.2,16.0,0.57,3.4038,3.4376,29.5508,0.0329,27.1968,3.4038,3.4087,202.6342,0.0024,10.502,0.14,0.0,,Z,9.0,amp
