LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
880588,0.600138,0.600134,0.600136,0.999993,295,3.2,1.2,3.3,1.2,16.08,0.91,442,23.4,2.4,23.4,2.4,16.08,0.84,1.6663,1.691,40.5268,0.0618,7.4387,1.6663,1.6736,136.4256,0.0109,14.7971,0.07,1e-05,L,,,
1212611,0.630896,0.630893,0.630894,0.999995,297,0.9,0.9,0.9,0.9,15.64,0.75,478,2.5,1.2,2.3,1.2,15.59,1.01,1.585,1.5962,89.3256,0.0606,10.3725,1.5851,1.6399,18.2199,0.0035,9.7157,0.26,0.0,L,,,
1876491,0.760128,0.760123,0.760126,0.999993,301,2.5,1.2,2.5,1.2,15.74,0.41,609,1.8,1.2,1.8,1.2,15.71,0.36,1.3156,1.3365,47.8813,0.0635,6.5301,1.3156,1.3204,207.0393,0.0104,15.2058,0.05,1e-05,L,,,
3048546,0.656287,0.656293,0.65629,1.000009,291,1.6,1.0,2.0,1.0,15.69,0.88,438,2.7,1.3,3.6,1.3,15.67,0.9,1.5237,1.5407,59.0667,0.0747,7.6335,1.5237,1.5267,331.675,0.019,10.6497,0.02,1e-05,L,,,
5272753,0.485827,0.485831,0.485829,1.000008,601,1.5,0.9,1.5,1.0,15.43,1.09,801,7.2,1.6,7.5,1.7,15.4,1.03,2.0583,2.0861,35.9777,0.0533,14.7049,2.0583,2.0613,337.8378,0.0397,14.6723,0.06,1e-05,L,,,
8610884,0.592421,0.592429,0.592425,1.000014,277,6.3,2.2,6.3,2.2,15.48,0.45,806,35.5,4.3,35.6,4.3,15.39,0.46,1.688,1.7144,37.843,0.0504,9.1348,1.688,1.7101,45.0958,0.006,14.6403,0.01,1e-05,L,,,
8907563,0.513164,0.513164,0.513164,1.0,259,2.8,1.1,2.8,1.1,16.13,0.77,382,38.4,4.6,38.4,4.6,16.09,0.8,1.9487,1.9757,37.0508,0.082,8.2394,1.9487,1.9757,36.9686,0.0328,21.8457,0.03,0.0,L,,,
9852554,0.651339,0.651367,0.651353,1.000043,339,1.1,1.0,1.6,1.1,16.42,0.67,217,46.6,4.5,50.6,5.5,16.53,0.75,1.5353,1.557,46.0617,0.0544,7.4618,1.5352,1.6001,15.4048,0.0257,6.829,0.08,4e-05,L,,,
9961135,0.590896,0.590891,0.590894,0.999992,296,2.6,1.1,2.7,1.1,15.58,0.57,71,4.7,1.8,4.7,1.7,15.56,0.45,1.6923,1.7099,57.0288,0.0961,7.3855,1.6924,1.6977,186.2197,0.0318,7.71,0.12,1e-05,L,,,
10503746,0.573563,0.57357,0.573567,1.000012,264,12.8,2.7,13.7,2.7,14.87,0.83,526,8.1,1.9,8.6,1.9,14.93,0.73,1.7435,1.7576,70.9471,0.07,7.171,1.7435,1.7572,72.7537,0.0058,13.1478,0.1,1e-05,L,,,
21948290,0.511127,0.511115,0.511121,0.999977,354,11.9,2.3,14.5,2.2,15.39,0.76,596,14.7,2.4,16.6,2.7,15.28,0.81,1.9565,1.9796,43.2339,0.0612,8.8706,1.9565,1.9796,43.3557,0.0138,20.4759,0.05,2e-05,L,,,
23596342,0.602841,0.602846,0.602844,1.000008,286,1.8,1.2,1.9,1.2,16.28,0.41,287,15.6,2.9,15.7,2.9,16.39,0.63,1.6588,1.6762,57.5209,0.0517,8.2285,1.6588,1.6719,76.0456,0.0067,11.8652,0.22,1e-05,L,,,
23898397,0.563018,0.562989,0.563004,0.999948,323,7.0,1.6,9.9,1.8,15.53,0.69,439,38.5,3.5,41.3,4.2,15.57,0.6,1.7761,1.7793,318.4713,0.077,8.8803,1.7762,1.8094,30.1477,0.0062,10.1214,0.09,5e-05,L,,,
