LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
3632428,0.710123,0.710081,0.710102,0.999941,216,1.1,0.9,1.3,1.1,15.65,0.39,1400,2.9,1.5,6.0,2.0,15.69,0.54,1.4082,1.4121,254.4529,0.1064,8.1744,1.4083,1.4148,153.9646,0.0025,9.7161,0.15,6e-05,L,-,0
7545954,0.555952,0.555959,0.555956,1.000013,228,29.7,3.7,28.4,3.8,14.34,0.81,912,20.8,3.8,21.4,3.7,14.29,0.77,1.7987,1.8087,100.05,0.1183,8.3917,1.7987,1.8021,296.2963,0.0031,9.24,0.04,1e-05,L,-,0
8955278,0.547521,0.547514,0.547518,0.999987,200,3.8,1.3,4.1,1.3,15.71,0.87,378,6.3,1.9,6.5,2.0,15.66,0.86,1.8264,1.8412,67.5904,0.1035,7.2561,1.8264,1.8402,72.7273,0.0095,10.8462,0.01,1e-05,L,-,0
13331395,0.646706,0.646719,0.646712,1.00002,194,5.4,1.2,5.5,1.2,15.86,0.51,780,58.3,4.6,59.8,4.6,15.93,0.66,1.5463,1.5518,182.4818,0.1267,6.7227,1.5463,1.5572,91.4913,0.0042,17.7771,0.15,2e-05,L,-,0
14225011,0.61038,0.610382,0.610381,1.000003,167,1.2,1.0,1.2,1.0,15.29,0.69,1819,2.4,1.1,2.4,1.2,15.28,0.92,1.6383,1.6486,96.9462,0.1335,8.3254,1.6383,1.6436,187.9699,0.0005,6.4955,0.23,0.0,L,-,0
16259674,0.575146,0.575151,0.575149,1.000009,179,1.3,0.8,1.3,0.8,15.26,0.73,362,3.4,1.7,3.4,1.6,15.28,0.56,1.7387,1.7654,37.4322,0.1396,6.514,1.7387,1.7429,234.7418,0.0054,16.319,0.17,1e-05,L,-,0
18682363,0.550246,0.550252,0.550249,1.000011,226,1.0,0.8,1.0,0.7,15.8,0.92,977,6.1,1.9,6.1,1.9,15.75,1.15,1.8174,1.8277,96.8992,0.1048,7.8318,1.8174,1.8791,16.1865,0.0011,15.3193,0.23,1e-05,L,-,0
19806944,0.513789,0.513787,0.513788,0.999996,198,4.0,1.5,4.1,1.5,15.19,0.83,3881,18.3,2.6,18.0,2.6,15.08,0.94,1.9463,1.9746,35.4233,0.1136,7.519,1.9463,2.0028,17.7195,0.019,372.549,0.11,0.0,L,-,0
20107944,0.598481,0.598468,0.598474,0.999978,215,1.3,1.1,1.4,1.1,16.08,0.61,1343,30.0,3.1,32.4,3.2,16.1,0.77,1.6709,1.6744,287.7698,0.1017,8.4712,1.6709,1.6789,126.2626,0.0008,10.8415,0.16,2e-05,L,-,0
21010711,0.488102,0.488058,0.48808,0.99991,198,4.6,1.2,16.3,2.3,15.03,1.09,1207,186.9,8.0,297.5,10.7,15.14,1.15,2.0488,2.0717,43.5635,0.122,11.1796,2.0489,2.072,43.2807,0.0064,31.0336,0.06,9e-05,L,-,0
