LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
158779,0.609207,0.609189,0.609198,0.99997,293,3.7,1.6,4.3,1.6,15.1,0.47,616,34.2,3.9,35.6,3.9,15.19,0.68,1.6415,1.6443,352.7337,0.0468,6.5501,1.6415,1.6444,350.2627,0.0123,16.5371,0.21,3e-05,-,LZ4,7
263541,0.558218,0.558221,0.55822,1.000005,270,15.8,2.9,16.2,3.0,15.3,0.64,503,110.4,6.6,110.5,6.8,15.39,0.82,1.7914,1.8621,14.1513,0.1188,9.7432,1.7914,1.8025,89.9685,0.0021,7.5968,0.18,1e-05,-,LZ5,7
393084,0.530027,0.530033,0.53003,1.000011,493,1.6,1.1,1.6,1.1,16.18,0.96,372,19.2,3.2,18.6,3.0,16.09,1.31,1.8867,1.9447,17.2369,0.0476,11.2661,1.8867,1.8896,347.2222,0.0235,16.1149,0.35,1e-05,-,LZ4,6
810169,0.465185,0.465212,0.465198,1.000058,289,6.0,2.1,8.2,2.3,15.47,0.77,743,15.1,2.8,31.4,3.6,15.59,0.75,2.1497,2.2232,13.6017,0.066,9.937,2.1496,2.223,13.6082,0.0077,16.149,0.02,6e-05,-,LZ3,5
924301,0.507503,0.50744,0.507472,0.999876,418,13.8,1.9,35.3,3.8,15.42,0.87,189,162.9,9.3,224.9,11.1,15.65,0.79,1.9704,2.0043,29.5072,0.0503,11.4848,1.9707,1.9763,178.4121,0.0219,18.8612,0.08,0.00012,-,LZ5,8
970326,0.592233,0.592231,0.592232,0.999997,275,1.9,1.1,1.9,1.1,15.91,0.51,552,7.7,2.1,7.6,2.1,15.88,0.75,1.6885,1.7563,14.7656,0.0676,7.0802,1.6885,1.6992,93.2836,0.0052,18.7531,0.24,0.0,-,LZ3,5
999528,0.658401,0.658407,0.658404,1.000009,564,1.8,1.2,1.9,1.2,16.22,0.57,213,21.7,2.7,22.0,2.6,16.21,0.92,1.5188,1.5527,29.5247,0.0685,14.9114,1.5188,1.551,31.0366,0.0156,13.0403,0.35,1e-05,-,LZ3,5
1005497,0.653607,0.653605,0.653606,0.999997,607,2.1,1.1,2.1,1.1,15.66,0.6,192,12.4,2.1,12.8,2.1,15.76,0.83,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.5481,55.1116,0.0233,12.4111,0.23,0.0,-,LZ3,5
1092244,0.649496,0.649558,0.649527,1.000095,590,2.3,1.2,5.2,1.7,16.09,0.72,326,32.1,3.6,51.6,5.3,16.15,0.58,1.5397,1.5735,29.5421,0.1267,13.4443,1.5395,1.564,40.833,0.0138,14.1927,0.14,0.0001,-,LZ4,7
1244554,0.536875,0.536962,0.536919,1.000162,469,9.5,1.8,18.4,2.7,15.78,0.71,312,14.8,2.3,177.1,7.5,15.58,0.97,1.8626,1.8966,29.4638,0.0687,12.3222,1.8623,1.9325,14.2481,0.0416,15.6071,0.26,0.00016,-,LZ3,7
