LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
12191421,0.577243,0.577226,0.577234,0.999971,228,17.4,2.3,18.7,2.3,14.88,0.69,506,64.0,5.5,71.3,5.9,14.83,0.93,1.7324,1.8002,14.7525,0.1049,7.0044,1.7324,1.7359,286.944,0.019,13.2029,0.24,3e-05,-,LZ5,8
12246346,0.512537,0.512518,0.512528,0.999963,201,2.4,1.3,2.5,1.4,16.0,0.87,2117,32.8,3.1,40.6,3.2,15.91,0.87,1.9511,1.9546,282.8854,0.0989,5.7357,1.9511,1.9769,38.7747,0.0117,14.0167,0.0,4e-05,-,LZ4,5
12359105,0.504674,0.504671,0.504672,0.999994,215,2.0,1.0,2.1,1.0,15.2,0.98,243,9.1,2.5,8.8,2.6,15.13,1.34,1.9815,2.024,23.5073,0.1103,8.6875,1.9815,2.0027,47.259,0.0154,43.6314,0.36,1e-05,-,LZ3,5
12473468,0.561761,0.561765,0.561763,1.000007,177,9.1,1.6,9.5,1.8,14.36,0.69,1013,28.3,3.9,28.2,3.8,14.32,0.98,1.7801,1.8519,13.9383,0.085,4.6575,1.7801,1.7924,81.3339,0.0015,13.6672,0.29,1e-05,-,LZ4,6
12704270,0.478093,0.478109,0.478101,1.000033,250,3.2,1.3,3.3,1.2,15.82,0.78,223,11.7,3.1,17.4,3.4,15.92,0.81,2.0916,2.1361,22.5149,0.1108,10.466,2.0916,2.136,22.4871,0.0145,7.3646,0.03,3e-05,-,LZ4,5
12968612,0.331995,0.331986,0.33199,0.999973,176,2.3,1.3,2.5,1.6,15.81,0.37,1120,13.7,2.4,17.3,3.6,15.78,0.54,3.0121,3.0798,14.7787,0.0364,7.5994,3.0122,3.0169,210.7482,0.0016,23.4742,0.17,3e-05,-,LZ3,6
13227470,0.630186,0.630199,0.630192,1.000021,177,2.8,1.4,3.8,1.4,14.51,0.62,1752,10.9,2.5,15.8,2.8,14.24,0.83,1.5868,1.6546,14.7525,0.0824,5.786,1.5868,1.6429,17.8285,0.0019,17.653,0.21,2e-05,-,LZ3,5
13423223,0.634672,0.634669,0.63467,0.999995,254,0.9,0.8,0.9,0.8,16.21,0.71,872,17.9,2.3,17.8,2.2,16.07,1.04,1.5756,1.6182,23.4659,0.0941,4.5074,1.5756,1.6242,20.5698,0.0031,14.0047,0.33,0.0,-,LZ3,5
13517578,0.534375,0.534507,0.534441,1.000247,228,3.0,1.4,14.9,2.9,15.71,0.78,333,137.3,7.6,265.1,11.0,15.85,0.78,1.8713,1.9036,30.9598,0.0823,6.5101,1.8709,1.9368,15.1722,0.0204,17.1033,0.0,0.00025,-,LZ5,7
13585738,0.47507,0.47504,0.475055,0.999937,224,121.4,5.9,195.4,8.6,14.0,0.83,993,42.9,5.6,49.5,5.6,14.05,0.61,2.105,2.156,19.5714,0.1038,8.9839,2.1051,2.1563,19.5408,0.0023,19.1771,0.22,6e-05,-,LZ5,9
