LINEAR ID,Plinear,Pztf,N_L,N_Z,L_chi2r,Z_chi2r,L_chi2,Z_chi2,Lampl,Zampl,BpeakL,BpeakZ,BperiodL,BperiodZ,Periodogram_f,B_score,Blazhko_f
29848,0.55702,0.55704,301,43,1.4,3.5,3.0,12.6,0.56,0.93,1.8328,1.7982,26.6205,333.3333,-,6,1
50402,0.643303,0.643294,284,586,0.7,1.1,0.6,1.8,0.48,0.69,1.6223,1.5918,14.7351,26.842,-,0,-1
62892,0.530776,0.530785,276,771,0.9,3.2,1.1,19.8,0.62,0.64,1.9519,1.9433,14.7319,16.8634,-,0,-1
91437,0.674733,0.674737,177,564,1.3,2.0,2.8,5.6,0.87,1.21,1.5498,1.4849,14.758,355.8719,-,0,-1
95250,0.31387,0.313876,222,916,0.8,1.4,0.8,3.0,0.48,0.46,3.2565,3.1889,14.1844,342.4658,-,0,-1
104455,0.997195,0.997587,119,44,1.6,17.6,3.4,184.1,4141.12,42446.41,1.0058,1.0499,336.1345,21.0682,-,0,-1
108513,0.473809,1.000362,282,42,1.4,10.9,4.0,161.1,0.86,26072.93,2.1465,1.0034,27.8203,266.3116,-,0,-1
136668,0.532923,0.532929,310,918,1.1,2.3,1.6,17.0,0.82,0.78,1.9095,1.9396,30.2847,15.8391,-,0,-1
141414,0.33569,0.335669,278,919,0.8,1.5,0.6,2.6,0.41,0.37,3.0467,2.993,14.7504,71.8907,-,0,-1
142794,0.470787,0.470802,270,63,1.0,2.3,1.8,11.9,0.72,0.72,2.1848,2.1851,16.488,16.3626,-,0,-1
158779,0.609207,0.609189,293,616,1.6,3.9,3.7,34.2,0.47,0.68,1.6443,1.6444,352.7337,350.2627,-,6,1
162255,0.512747,0.512744,266,1119,1.6,1.6,5.7,6.2,0.96,1.31,1.9531,1.9765,355.8719,38.1243,-,0,-1
163933,0.339629,0.679246,306,53,0.9,0.9,1.0,1.5,0.45,0.35,2.9472,1.5272,353.3569,18.1802,-,0,-1
172382,0.458309,0.458308,227,1461,1.1,2.4,1.5,10.2,1.16,1.1,2.2435,2.2716,16.2536,11.1595,-,0,-1
174389,0.334036,0.33404,270,786,1.4,1.4,4.5,2.2,0.27,0.33,3.0643,2.9968,14.1693,320.0,-,0,-1
186102,0.647419,0.647425,188,574,0.7,1.3,0.6,2.6,0.89,1.11,1.5889,1.5501,22.5785,182.1494,-,0,-1
215632,0.572162,0.572163,286,441,1.0,1.4,0.9,3.4,0.75,0.99,1.8182,1.7507,14.1975,336.7003,-,0,-1
258499,0.401505,0.401504,275,537,1.5,1.6,2.7,2.9,0.34,0.36,2.5613,2.5182,14.1413,36.2384,-,0,-1
263541,0.558218,0.558221,270,503,2.9,6.6,15.8,110.4,0.64,0.82,1.8621,1.8025,14.1513,89.9685,-,7,1
303860,0.499321,0.492164,280,639,5.0,4.3,36.3,83.8,86.75,1.08,2.0319,2.0464,34.3053,68.7049,-,0,-1
309626,0.595841,0.997215,215,40,2.9,16.5,21.0,445.4,0.68,868885.53,1.6811,1.0305,353.3569,36.1011,-,0,-1
355767,0.499298,0.521363,180,114,3.4,1.8,9.5,4.5,4622.25,1.12,2.0132,1.924,95.9693,167.2241,-,0,-1
393084,0.530027,0.530033,493,372,1.1,3.2,1.6,19.2,0.96,1.31,1.9447,1.8896,17.2369,347.2222,-,0,-1
418785,0.700122,0.70012,263,50,0.8,0.9,1.4,1.3,0.56,0.44,1.477,1.4685,20.5508,24.9066,-,0,-1
420327,0.535225,0.53522,144,656,0.8,1.4,1.1,2.8,0.53,0.74,1.902,1.8713,29.7177,345.4231,-,0,-1
437483,0.699234,0.699235,316,666,0.7,1.0,0.5,1.7,0.37,0.35,1.464,1.4385,29.4942,119.9041,-,0,-1
439441,0.709248,0.709247,349,443,1.3,1.4,2.1,2.4,0.36,0.5,1.4718,1.4136,16.1603,271.3704,-,0,-1
514883,0.557723,0.557737,289,555,1.7,5.5,5.3,53.7,0.55,0.72,1.8472,1.7958,18.4655,357.1429,-,7,1
516954,0.29757,0.297569,243,1164,2.3,1.3,5.6,2.7,0.52,0.6,3.4523,3.3634,10.8962,357.7818,-,0,-1
523832,0.372376,0.372384,251,42,1.2,1.1,1.8,0.8,0.42,0.59,2.804,2.7122,8.437,37.3413,Z,0,2
558961,0.600532,0.600547,213,61,2.2,1.7,11.9,2.0,0.55,0.55,1.7357,1.668,14.1753,352.1127,-,0,-1
608497,0.485636,0.748671,556,37,2.5,10.5,20.4,504.9,0.86,19.1,2.093,1.3432,29.529,133.6898,-,0,-1
658512,0.96905,2.708902,404,42,1.5,5.4,2.4,25.0,0.31,0.67,1.0479,0.3806,62.7549,87.2981,-,0,-1
664583,0.602994,0.603021,449,613,1.1,2.5,1.8,11.1,0.56,0.53,1.6612,1.6666,357.7818,120.4094,-,0,-1
670864,0.600802,0.39581,336,42,0.9,10.6,1.2,115.1,0.52,23.53,1.7415,2.5564,12.9811,33.3667,-,0,-1
717668,0.426744,0.426758,302,428,1.2,1.7,1.6,3.9,0.32,0.32,2.4138,2.3515,14.1834,121.2856,-,0,-1
734545,0.289482,0.702579,305,41,1.7,5.4,3.3,28.6,0.29,0.44,3.5249,1.4379,14.1874,68.7994,-,0,-1
737951,0.357023,0.357023,273,871,2.2,6.7,6.0,42.4,0.43,0.34,2.8038,2.8039,353.3569,332.2259,-,6,1
771232,0.54093,0.540941,301,889,1.0,1.6,1.1,4.7,0.93,0.89,1.9257,1.9257,12.9811,12.9744,-,0,-1
798477,0.651627,0.651611,294,139,1.2,3.5,2.0,17.8,0.61,0.78,1.5984,1.6041,15.6838,14.3968,-,0,-1
803829,0.595281,0.595286,270,561,2.3,2.6,8.7,9.9,0.91,1.34,1.7205,1.6828,24.5912,335.5705,-,10,0
810169,0.465185,0.465212,289,743,2.1,2.8,6.0,15.1,0.77,0.75,2.2232,2.223,13.6017,13.6082,-,12,1
813450,0.589387,0.589389,221,431,1.3,1.0,2.0,2.3,0.7,0.93,1.7703,1.7022,13.5796,181.8182,-,0,-1
836895,0.473399,0.473398,194,612,1.3,2.8,3.0,11.1,1.09,1.49,2.1672,2.1673,18.2415,18.2232,-,0,-1
843294,0.374216,0.374214,290,358,1.4,1.7,3.3,5.1,0.36,0.36,2.706,2.6778,29.6252,180.1802,-,0,-1
851716,1.908191,0.388356,100,147,1.2,5.3,1.3,39.7,0.64,0.38,0.5241,2.5778,0.0,354.6099,-,0,-1
856862,0.625858,1.251798,294,26,1.0,1.2,1.1,1.6,0.45,0.6,1.6344,0.7989,27.3635,0.0,-,0,-1
869112,0.63569,1.753223,322,32,0.9,2.1,1.0,4.4,0.34,0.54,1.6071,0.5965,29.4118,38.2263,-,0,-1
872620,0.549247,0.549248,282,272,1.0,1.5,1.1,2.8,0.85,0.63,1.8289,1.8303,121.2856,103.6269,-,0,-1
880568,0.628261,1.157215,200,30,2.5,1.6,19.6,19.2,0.73,0.74,1.6509,0.8862,16.8805,45.3309,-,0,-1
880588,0.600138,0.600134,295,442,1.2,2.4,3.2,23.4,0.91,0.84,1.691,1.6736,40.5268,136.4256,L,0,2
883073,0.725513,2.661727,302,32,1.0,2.9,1.0,9.5,0.43,0.61,1.4148,0.3853,27.4198,104.6572,-,0,-1
895953,0.658156,0.658154,297,408,0.7,1.5,0.5,3.4,0.46,0.5,1.5528,1.5554,29.976,27.7971,-,0,-1
899832,0.589463,12.401002,285,6,2.1,0.2,9.3,0.0,0.61,255.0,1.7264,0.0806,33.4057,0.0,-,0,-1
924301,0.507503,0.50744,418,189,1.9,9.3,13.8,162.9,0.87,0.79,2.0043,1.9763,29.5072,178.4121,-,10,1
966279,0.517279,0.51727,330,607,1.5,2.7,6.1,21.0,0.92,0.82,2.001,2.0027,14.7406,14.3978,-,0,-1
967924,0.643331,0.643319,227,569,0.9,1.4,0.7,3.0,0.92,1.27,1.6221,1.5592,14.7667,210.9705,-,0,-1
968962,0.579336,0.579334,235,711,1.0,1.4,1.1,3.4,0.84,0.8,1.7934,1.7311,14.8644,199.2032,-,0,-1
969277,1.003276,0.691657,220,676,2.8,1.2,13.0,2.5,0.55,0.75,0.9996,1.4508,344.8276,200.4008,-,0,-1
970326,0.592233,0.592231,275,552,1.1,2.1,1.9,7.7,0.51,0.75,1.7563,1.6992,14.7656,93.2836,-,0,-1
976746,0.620673,0.620663,236,91,1.6,1.4,3.9,2.3,0.45,0.4,1.679,1.6844,14.7493,13.6603,-,0,-1
989567,0.316227,0.632456,283,69,1.1,2.3,1.4,4.4,0.25,0.8,3.23,1.6291,14.7601,20.8485,-,0,-1
991055,0.347282,0.997648,131,104,1.3,12.2,2.7,130.4,0.43,16.81,3.0117,1.0072,7.5637,207.6843,-,0,-1
993105,0.794678,0.794668,205,115,0.9,1.0,0.9,1.0,0.34,0.23,1.2963,1.2646,26.3401,161.4205,-,0,-1
999528,0.658401,0.658407,564,213,1.2,2.7,1.8,21.7,0.57,0.92,1.5527,1.551,29.5247,31.0366,-,0,-1
1004849,0.458463,0.458467,607,193,1.3,2.6,6.5,14.7,1.14,1.6,2.2151,2.2704,29.4985,11.2039,-,0,-1
1005497,0.653607,0.653605,607,192,1.1,2.1,2.1,12.4,0.6,0.83,1.5639,1.5481,29.4638,55.1116,-,0,-1
1013889,0.504572,0.50452,228,106,1.3,4.4,3.8,28.0,0.72,0.49,2.0444,1.9924,15.9885,97.1345,-,0,-1
1032186,0.997228,2.637662,140,21,2.3,6.4,4.5,31.5,3605.43,1144.44,1.0187,0.391,62.9129,84.5309,-,0,-1
1034627,0.620331,0.620278,167,585,1.3,3.2,4.9,18.3,0.37,0.34,1.6257,1.6187,73.2332,154.0832,-,0,-1
1049602,0.302012,0.302016,220,475,1.4,1.1,2.3,1.4,0.39,0.37,3.345,3.3159,29.4898,207.2539,-,0,-1
1051321,0.330482,0.330481,558,353,1.2,1.3,5.6,1.9,0.33,0.33,3.0598,3.0314,29.5029,180.3427,-,0,-1
1051858,0.632085,0.632085,552,276,0.7,1.1,0.6,1.2,0.38,0.53,1.616,1.5853,29.4551,313.4796,-,0,-1
1058132,0.632859,0.632854,607,187,0.8,1.0,0.8,1.6,0.44,0.59,1.614,1.6005,29.5072,49.0798,-,0,-1
1059786,0.463511,0.463516,549,350,1.0,2.0,1.4,8.0,1.18,1.15,2.1913,2.2348,29.5247,12.9241,-,0,-1
1080552,0.702908,0.351453,548,291,2.5,8.1,8.2,75.1,0.42,0.49,1.4396,2.9255,59.1191,12.4774,-,0,-1
1092244,0.649496,0.649558,590,326,1.2,3.6,2.3,32.1,0.72,0.58,1.5735,1.564,29.5421,40.833,-,7,1
1102647,0.621541,0.621548,559,285,1.3,1.7,2.8,4.6,0.78,0.79,1.6428,1.6144,29.5116,180.9955,-,0,-1
1111522,0.523951,0.499325,345,292,1.4,27.1,5.9,622.0,0.89,530.5,1.957,2.0027,20.6356,0.0,-,0,-1
1112498,0.492932,0.492942,541,289,1.0,1.9,1.6,8.9,1.09,1.44,2.0416,2.0545,77.1903,38.6922,-,0,-1
1113422,0.386238,1.638072,384,22,2.6,1.7,8.7,29.0,0.43,21.67,2.6255,0.6171,27.4348,150.1502,-,0,-1
1124773,0.331832,0.66366,169,155,1.0,1.3,1.0,2.2,0.34,0.49,3.1227,1.5218,9.1617,66.4673,-,0,-1
1127427,0.619895,0.6199,184,155,1.0,1.1,1.1,1.7,0.52,0.73,1.6298,1.652,60.024,25.7367,-,0,-1
1128811,0.313351,0.313355,144,195,0.8,1.2,1.2,1.8,0.5,0.38,3.3003,3.1967,9.1705,184.1621,-,0,-1
1130401,0.467372,0.467362,151,189,2.8,5.8,23.0,53.8,0.75,0.8,2.2293,2.1451,11.1539,182.6484,-,0,-1
1132871,0.55664,0.556606,144,156,2.0,5.5,6.3,80.3,0.85,0.98,1.8021,1.8413,177.7778,22.3539,-,0,-1
1145534,0.536989,1.627078,310,23,1.1,5.7,1.9,49.6,0.82,24.39,1.8963,0.6146,29.3815,0.0,-,0,-1
1152390,0.488849,0.488846,145,197,1.1,2.2,1.7,9.5,0.99,0.97,2.0484,2.067,356.5062,46.7071,-,0,-1
1169665,1.238946,0.412945,305,330,4.7,9.3,24.5,86.5,0.3,0.35,0.8342,2.4254,36.9481,261.7801,-,0,-1
1179977,0.689492,2.23406,254,27,0.9,1.5,1.3,16.3,0.62,1.04,1.4862,0.4578,27.8629,98.668,-,0,-1
1197898,0.341894,0.341881,261,240,1.2,1.5,2.0,3.2,0.27,0.4,2.9953,2.928,14.1995,333.3333,-,0,-1
1210627,0.284468,0.284472,277,461,1.1,1.8,1.4,4.2,0.46,0.6,3.586,3.5202,14.1553,205.1282,-,0,-1
1212611,0.630896,0.630893,297,478,0.9,1.2,0.9,2.5,0.75,1.01,1.5962,1.6399,89.3256,18.2199,L,0,2
1240665,0.632528,0.632522,468,311,3.0,1.1,25.2,1.6,0.33,0.33,1.6149,1.5865,29.4942,182.3154,Z,0,2
1241164,0.428471,5.815305,626,13,1.3,0.1,4.9,0.2,0.32,17662.0,2.3678,0.175,29.4898,325.2033,-,0,-1
1244554,0.536875,0.536962,469,312,1.8,2.3,9.5,14.8,0.71,0.97,1.8966,1.9325,29.4638,14.2481,-,14,1
1249142,0.565642,0.565649,417,266,1.0,1.4,1.2,3.6,0.81,0.8,1.8017,1.7734,29.5465,180.1802,-,0,-1
1265213,0.583087,0.583081,293,736,0.8,1.2,1.2,2.1,0.64,0.66,1.7828,1.7284,14.7493,74.7943,-,0,-1
1271119,0.56527,0.565257,280,521,1.0,4.0,2.9,45.5,0.69,0.9,1.8366,1.7739,14.806,208.3333,-,0,-1
1273940,0.382316,0.382328,324,688,0.9,1.3,1.0,3.0,0.4,0.39,2.6834,2.6289,14.7493,75.1315,-,0,-1
1305630,0.568039,0.284019,252,628,2.2,1.4,9.3,2.9,0.35,0.32,1.7943,3.5256,29.5116,212.3142,-,0,-1
1307948,0.527474,0.527415,262,655,1.8,4.5,6.7,35.2,0.49,0.54,1.9302,1.9494,29.0909,18.7441,-,9,1
1332201,0.580711,0.580731,260,208,1.6,4.2,9.2,50.1,0.59,0.83,1.7559,1.7918,29.4942,14.3225,-,7,1
1348385,0.658943,0.658948,187,599,0.7,1.1,0.8,2.0,0.61,0.79,1.5486,1.5473,32.2737,33.5852,-,0,-1
1372405,0.589185,0.589181,181,428,1.3,1.4,2.7,2.2,0.86,0.8,1.771,1.7001,13.5529,352.7337,-,0,-1
1374889,0.322775,0.313186,189,546,2.6,1.6,8.5,3.1,0.28,0.44,3.126,3.2037,35.9066,93.5454,-,0,-1
1390653,0.521867,0.521871,524,310,1.3,4.1,4.2,44.9,1.1,1.28,1.9502,2.0026,29.4291,11.5768,-,5,1
1391917,0.663718,0.331865,499,44,1.2,1.0,3.0,1.3,0.39,0.25,1.5236,3.0174,58.9797,242.4242,-,0,-1
1426563,0.55673,0.55674,173,157,0.9,1.9,0.9,9.4,0.75,1.03,1.8605,1.8017,15.5448,180.1802,-,0,-1
1434107,0.499299,0.511945,528,167,7.8,1.9,60.5,6.0,103.3,1.36,2.0275,1.9781,40.5022,40.3959,-,0,-1
1435279,0.381858,0.38186,545,316,2.1,4.2,8.4,24.6,0.42,0.4,2.6527,2.6243,29.5029,180.1802,-,5,1
1448299,0.606912,0.60694,435,267,2.7,5.4,32.5,35.6,0.77,0.7,1.6816,1.6531,29.4551,180.9955,-,10,1
1457871,0.515446,0.515447,498,198,1.4,1.6,10.7,3.7,0.89,1.23,1.9738,1.9714,29.634,31.9132,-,0,-1
1462162,0.498646,1.560466,405,10,10.0,0.0,155.9,0.0,5.48,263.35,2.0462,0.6674,24.5308,37.5869,-,0,-1
1468233,0.325253,0.325251,256,135,0.8,1.3,0.9,1.9,0.35,0.23,3.1111,3.0793,27.3486,209.205,-,0,-1
1478037,0.70612,0.706124,308,411,1.1,1.3,1.6,2.5,0.71,0.73,1.4527,1.4244,27.3748,121.8769,-,0,-1
1482761,0.297081,0.297077,340,295,1.1,2.5,1.1,6.1,0.34,0.48,3.3999,3.3694,29.5683,308.1664,-,0,-1
1491155,0.536245,0.53625,323,328,0.8,2.4,1.5,17.7,0.89,1.23,1.9338,1.9351,14.5022,14.2187,-,0,-1
1491775,0.785391,0.354951,293,330,2.0,7.5,4.8,101.0,0.4,0.46,1.2845,2.8208,88.7311,283.2861,-,0,-1
1491942,0.479459,0.47946,331,468,1.9,3.1,5.7,29.5,0.91,0.85,2.1271,2.0886,24.1284,341.2969,-,9,0
1492054,0.356655,0.356649,339,528,1.6,5.1,3.4,28.3,0.44,0.41,2.8066,2.8068,357.7818,338.4095,-,0,-1
1492129,0.627674,0.627745,339,152,1.9,1.6,8.6,6.5,0.78,1.11,1.5966,1.6313,294.9853,26.1165,-,8,0
1499034,0.639108,0.639107,242,269,1.1,1.4,1.6,2.5,0.83,1.28,1.606,1.5679,24.2248,309.5975,-,0,-1
1508774,0.47044,1.411348,141,31,1.0,3.8,1.0,55.8,1.12,2.0,2.1871,0.7148,16.2813,160.3849,-,0,-1
1520272,0.408331,0.408317,310,592,0.9,1.6,0.9,2.8,0.32,0.34,2.4518,2.452,357.7818,344.2341,-,0,-1
1539000,0.500288,0.500279,410,468,1.5,3.6,6.1,66.3,0.89,1.13,2.0021,2.0017,303.9514,355.8719,-,0,-1
1551619,0.338148,0.338146,295,436,1.3,1.7,2.0,2.9,0.35,0.47,3.028,2.9621,14.1493,207.0393,-,0,-1
1553288,0.283999,0.283999,273,625,0.9,1.1,4.6,1.4,0.25,0.24,3.5906,3.5259,14.4071,210.9705,-,0,-1
1559109,0.272659,0.272659,316,521,0.8,1.3,0.8,2.1,0.4,0.54,3.7383,3.6725,14.1473,205.1282,-,0,-1
1584721,0.676196,0.676189,426,160,1.3,1.8,4.3,3.2,0.88,1.2,1.5128,1.5267,29.4551,20.9314,-,0,-1
1585633,0.406924,0.406932,432,279,1.2,1.2,1.9,1.6,0.41,0.41,2.4914,2.4629,29.4855,180.8318,-,0,-1
1593736,0.592628,0.59265,264,532,1.2,5.7,2.1,35.9,0.37,0.36,1.7584,1.691,14.0795,272.4796,-,5,1
1602363,0.880732,0.293574,311,519,1.3,5.8,1.6,24.6,0.31,0.32,1.1589,3.4097,42.526,291.5452,-,0,-1
1615764,0.488189,0.48819,334,330,1.5,1.6,3.0,5.8,1.07,1.04,2.0712,2.0512,43.8789,356.5062,-,0,0
1626282,1.248502,0.416076,307,605,1.1,6.0,1.3,48.9,0.37,0.39,0.8235,2.4076,44.287,238.379,-,0,-1
1627564,0.584911,0.584914,317,217,1.1,1.3,1.4,2.1,0.75,0.77,1.7774,1.7147,14.7678,196.8504,-,0,-1
1634230,0.600537,0.600542,273,187,1.7,1.0,4.2,1.8,0.58,0.45,1.733,1.6682,14.746,327.3322,-,0,-1
1634758,0.479112,0.922049,230,32,1.4,3.7,3.1,76.5,1.11,1.33,2.1294,1.1254,23.677,24.4469,-,0,-1
1637658,0.664598,0.664596,157,613,1.4,1.6,2.4,3.5,0.8,1.14,1.5751,1.5114,14.1904,147.7105,-,0,-1
1648028,0.610907,0.610903,256,592,0.7,1.1,0.6,1.5,0.65,0.79,1.7047,1.6436,14.7612,150.8296,-,0,-1
1650268,0.590902,0.590906,196,727,0.8,1.1,0.7,1.4,0.66,0.58,1.7514,1.7031,16.9319,92.7644,-,0,-1
1656568,0.276518,0.276521,188,684,1.7,1.1,3.7,1.4,0.32,0.32,3.6192,3.6272,355.2398,92.4214,-,0,-1
1684856,0.521783,0.499335,420,164,1.1,26.4,1.6,770.7,0.86,1068.6,1.9596,2.0079,23.1938,192.3077,-,0,-1
1685980,0.752987,0.461518,368,23,1.3,1.6,2.1,6.3,0.35,0.53,1.3646,2.224,27.3373,17.4825,-,0,-1
1691490,0.719252,0.719238,263,609,1.2,1.0,1.4,2.2,0.45,0.6,1.4212,1.4011,32.4307,93.5016,-,0,-1
1710162,0.600988,0.600985,182,1376,2.0,2.0,7.6,6.3,0.57,0.53,1.6978,1.6705,29.5116,153.1394,-,0,-1
1720538,0.291562,0.291561,231,1379,0.6,1.2,0.4,1.7,0.39,0.4,3.4638,3.4364,29.4118,151.1716,-,0,-1
1736308,0.555848,0.555843,372,44,1.3,1.0,2.9,1.9,0.7,0.59,1.833,1.8264,29.4377,36.6367,Z,0,2
1746311,0.319192,0.319194,226,148,1.2,1.5,3.5,2.8,0.34,0.51,3.1668,3.1966,29.5203,15.7035,-,0,-1
1748058,0.310237,0.310176,463,272,1.4,5.7,2.2,30.7,0.38,0.23,3.2572,3.2297,29.5203,173.3102,-,7,1
1749054,0.289545,0.289549,167,280,1.1,1.1,1.3,2.1,0.45,0.41,3.4908,3.4592,26.9324,180.3427,-,0,-1
1780485,0.58642,0.586436,240,147,1.1,4.7,2.1,48.4,0.72,0.85,1.7474,1.7616,23.7445,17.7211,-,0,-1
1784750,0.590825,0.590826,520,108,0.8,1.7,1.2,6.5,0.72,0.98,1.7265,1.7718,29.4724,12.6239,-,0,-1
1790596,0.534498,0.534506,509,327,3.1,3.3,19.3,15.6,0.79,0.7,1.9046,1.8764,29.6868,182.1494,-,6,0
1804606,0.499793,0.499347,553,280,1.5,7.0,4.3,103.8,0.85,38.16,2.0348,2.0063,29.4204,268.8172,-,0,-1
1817613,0.610827,0.364998,372,10,0.8,0.1,0.7,0.0,0.47,145.88,1.671,2.7489,29.529,109.589,-,0,-1
1818091,0.494996,0.494995,304,562,0.8,2.1,1.1,7.9,1.12,1.49,2.054,2.029,29.6033,114.3511,-,0,-1
1828651,0.535167,0.535176,316,417,1.2,1.9,3.0,6.2,0.77,0.8,1.9356,1.9356,14.9087,14.912,-,0,-1
1838988,0.344573,0.344569,320,657,0.7,1.3,0.6,2.5,0.37,0.34,2.9387,2.9051,27.3411,340.7155,-,0,-1
1852714,0.454979,0.454984,294,134,1.4,2.7,3.9,11.5,1.19,0.84,2.2685,2.2027,14.1733,208.7683,-,0,-1
1857382,0.566428,0.566407,280,417,2.7,2.5,20.4,14.9,0.55,0.56,1.836,1.782,14.1814,60.5877,-,10,1
1863652,0.635622,0.635618,250,400,1.0,1.1,1.6,3.7,0.94,0.86,1.6438,1.5763,14.1753,330.5785,-,0,-1
1871916,0.600461,0.600462,267,491,1.3,1.4,3.0,4.7,1.01,0.93,1.6993,1.6735,29.4898,122.9256,-,0,-1
1876491,0.760128,0.760123,301,609,1.2,1.2,2.5,1.8,0.41,0.36,1.3365,1.3204,47.8813,207.0393,L,0,2
1882088,0.315984,0.316041,303,120,4.0,1.5,20.5,4.2,0.41,0.6,3.1675,3.169,355.8719,205.1282,-,9,1
1882354,0.695061,0.695029,313,411,1.5,2.8,3.0,13.2,0.63,0.7,1.4909,1.4419,19.1516,326.2643,-,7,1
1885158,0.667416,1.994422,273,41,0.9,5.9,0.9,64.1,0.72,137.08,1.5691,0.5072,14.1223,172.5626,-,0,-1
1915212,0.309753,0.309755,596,295,1.8,1.6,6.3,2.1,0.41,0.32,3.2623,3.2339,29.4898,180.6685,-,0,-1
1918275,0.272999,1.605621,567,21,1.2,2.0,2.3,4.2,0.32,11.84,3.697,0.6256,29.4681,353.9823,-,0,-1
1925869,0.267214,0.534433,398,255,0.9,1.7,0.9,2.7,0.32,0.3,3.7762,1.915,29.5159,22.7868,-,0,-1
