LINEAR ID,Plinear,Pztf,N_L,N_Z,L_chi2r,Z_chi2r,L_chi2,Z_chi2,Lampl,Zampl,Ampl_diff,BpeakL,BpeakZ,BperiodL,BperiodZ,Periodogram_f,B_score,Blazhko_f
29848,0.55702,0.55704,301,43,1.4,3.5,3.0,12.6,0.56,0.93,0.37,1.8328,1.7982,26.6205,333.3333,-,6,1
62892,0.530776,0.530785,276,771,0.9,3.2,1.1,19.8,0.62,0.64,0.02,1.9519,1.9433,14.7319,16.8634,-,5,1
136668,0.532923,0.532929,310,918,1.1,2.3,1.6,17.0,0.82,0.78,0.04,1.9095,1.9396,30.2847,15.8391,-,5,0
141414,0.33569,0.335669,278,919,0.8,1.5,0.6,2.6,0.41,0.37,0.04,3.0467,2.993,14.7504,71.8907,-,6,0
142794,0.470787,0.470802,270,63,1.0,2.3,1.8,11.9,0.72,0.72,0.0,2.1848,2.1851,16.488,16.3626,-,5,0
158779,0.609207,0.609189,293,616,1.6,3.9,3.7,34.2,0.47,0.68,0.21,1.6443,1.6444,352.7337,350.2627,-,6,1
162255,0.512747,0.512744,266,1119,1.6,1.6,5.7,6.2,0.96,1.31,0.35,1.9531,1.9765,355.8719,38.1243,-,5,0
174389,0.334036,0.33404,270,786,1.4,1.4,4.5,2.2,0.27,0.33,0.06,3.0643,2.9968,14.1693,320.0,-,5,0
258499,0.401505,0.401504,275,537,1.5,1.6,2.7,2.9,0.34,0.36,0.02,2.5613,2.5182,14.1413,36.2384,-,8,1
263541,0.558218,0.558221,270,503,2.9,6.6,15.8,110.4,0.64,0.82,0.18,1.8621,1.8025,14.1513,89.9685,-,7,1
393084,0.530027,0.530033,493,372,1.1,3.2,1.6,19.2,0.96,1.31,0.35,1.9447,1.8896,17.2369,347.2222,-,5,0
439441,0.709248,0.709247,349,443,1.3,1.4,2.1,2.4,0.36,0.5,0.14,1.4718,1.4136,16.1603,271.3704,-,9,0
514883,0.557723,0.557737,289,555,1.7,5.5,5.3,53.7,0.55,0.72,0.17,1.8472,1.7958,18.4655,357.1429,-,7,1
523832,0.372376,0.372384,251,42,1.2,1.1,1.8,0.8,0.42,0.59,0.17,2.804,2.7122,8.437,37.3413,Z,0,2
664583,0.602994,0.603021,449,613,1.1,2.5,1.8,11.1,0.56,0.53,0.03,1.6612,1.6666,357.7818,120.4094,-,5,1
737951,0.357023,0.357023,273,871,2.2,6.7,6.0,42.4,0.43,0.34,0.09,2.8038,2.8039,353.3569,332.2259,-,6,1
771232,0.54093,0.540941,301,889,1.0,1.6,1.1,4.7,0.93,0.89,0.04,1.9257,1.9257,12.9811,12.9744,-,5,0
798477,0.651627,0.651611,294,139,1.2,3.5,2.0,17.8,0.61,0.78,0.17,1.5984,1.6041,15.6838,14.3968,-,5,0
803829,0.595281,0.595286,270,561,2.3,2.6,8.7,9.9,0.91,1.34,0.43,1.7205,1.6828,24.5912,335.5705,-,10,0
810169,0.465185,0.465212,289,743,2.1,2.8,6.0,15.1,0.77,0.75,0.02,2.2232,2.223,13.6017,13.6082,-,12,1
